"","Read_Count_A1","Read_Count_A2","Read_Count_A3","Read_Count_A4","Read_Count_A5","Read_Count_A6","Read_Count_A7","Read_Count_A8","Read_Count_A9"
"bin_23_metaspades.faa_1_1",0,0,0,0,0,0,0,1,18
"bin_23_metaspades.faa_1_10",0,0,0,0,0,2,0,7,32
"bin_23_metaspades.faa_1_100",0,0,0,0,0,4,0,8,73
"bin_23_metaspades.faa_1_1000",0,4,8,0,21,14,0,379,1339
"bin_23_metaspades.faa_1_1001",0,2,0,0,2,4,0,47,148
"bin_23_metaspades.faa_1_1002",0,0,0,0,0,2,0,10,37
"bin_23_metaspades.faa_1_1003",0,4,0,0,0,4,0,6,48
"bin_23_metaspades.faa_1_1004",0,0,0,0,2,2,0,38,77
"bin_23_metaspades.faa_1_1005",0,0,0,0,2,2,0,22,47
"bin_23_metaspades.faa_1_1006",0,0,0,0,2,2,0,34,153
"bin_23_metaspades.faa_1_1007",0,0,0,0,2,4,1,19,51
"bin_23_metaspades.faa_1_1008",0,0,0,0,2,0,0,16,6
"bin_23_metaspades.faa_1_1009",0,2,0,0,4,2,0,21,97
"bin_23_metaspades.faa_1_101",0,0,0,0,6,2,0,31,115
"bin_23_metaspades.faa_1_1010",0,0,0,0,6,0,0,30,101
"bin_23_metaspades.faa_1_1011",0,0,0,0,6,6,0,43,114
"bin_23_metaspades.faa_1_1012",0,2,0,0,2,12,0,122,406
"bin_23_metaspades.faa_1_1013",0,0,0,0,0,0,0,64,152
"bin_23_metaspades.faa_1_1014",0,5,0,6,16,18,0,1098,1798
"bin_23_metaspades.faa_1_1015",0,0,0,0,0,0,0,0,0
"bin_23_metaspades.faa_1_1016",0,0,0,0,0,2,0,159,517
"bin_23_metaspades.faa_1_1017",0,0,0,0,0,3,0,17,86
"bin_23_metaspades.faa_1_1018",0,0,0,0,0,0,0,7,16
"bin_23_metaspades.faa_1_1019",0,0,0,0,0,0,0,6,10
"bin_23_metaspades.faa_1_102",0,0,0,0,0,4,0,2,12
"bin_23_metaspades.faa_1_1020",0,0,0,0,0,0,0,5,2
