"","Read_Count_A1","Read_Count_A2","Read_Count_A3","Read_Count_A4","Read_Count_A5","Read_Count_A6","Read_Count_A7","Read_Count_A8","Read_Count_A9"
"bin_21_operams.faa_1_1",0,0,0,1,0,0,0,0,0
"bin_21_operams.faa_1_10",74,10,30,12,2,18,0,0,8
"bin_21_operams.faa_1_11",6,2,4,0,0,4,0,0,2
"bin_21_operams.faa_1_12",6,0,0,0,0,0,0,0,0
"bin_21_operams.faa_1_13",164,56,114,40,6,74,8,0,24
"bin_21_operams.faa_1_14",130,39,78,36,4,58,6,3,41
"bin_21_operams.faa_1_15",42,18,32,0,0,16,0,2,22
"bin_21_operams.faa_1_16",21,18,8,10,4,9,2,2,3
"bin_21_operams.faa_1_17",85,31,34,30,7,25,0,2,22
"bin_21_operams.faa_1_18",43,23,40,10,2,13,0,0,35
"bin_21_operams.faa_1_19",71,22,40,24,2,19,6,0,24
"bin_21_operams.faa_1_2",1,0,0,0,0,0,0,0,0
"bin_21_operams.faa_1_20",22,2,4,2,0,3,0,0,0
"bin_21_operams.faa_1_21",552,184,193,133,36,128,37,12,164
"bin_21_operams.faa_1_22",32,6,11,2,0,3,0,0,3
"bin_21_operams.faa_1_23",8,0,0,0,0,0,0,0,3
"bin_21_operams.faa_1_24",36,25,36,12,0,6,0,2,20
"bin_21_operams.faa_1_25",55,6,4,0,0,6,0,0,6
"bin_21_operams.faa_1_26",8,2,10,0,0,0,0,0,0
"bin_21_operams.faa_1_27",3,0,2,0,0,0,0,0,0
"bin_21_operams.faa_1_28",32,2,4,0,0,4,0,0,4
"bin_21_operams.faa_1_29",18,0,8,2,0,0,0,0,12
"bin_21_operams.faa_1_3",6,2,8,0,0,2,0,0,0
"bin_21_operams.faa_1_30",2,2,4,0,0,1,0,0,4
"bin_21_operams.faa_1_31",4,0,0,0,0,0,0,0,3
"bin_21_operams.faa_1_32",6,0,8,0,0,2,0,0,6
"bin_21_operams.faa_1_33",6,6,2,2,1,0,0,0,0
"bin_21_operams.faa_1_34",4,0,2,6,0,2,0,0,0
"bin_21_operams.faa_1_35",12,4,11,6,0,6,2,0,6
"bin_21_operams.faa_1_36",8,2,15,0,0,6,0,0,10
"bin_21_operams.faa_1_37",6,2,10,0,0,4,4,0,10
"bin_21_operams.faa_1_38",10,0,10,0,0,4,4,0,6
"bin_21_operams.faa_1_39",2,0,0,0,0,0,0,0,8
"bin_21_operams.faa_1_4",9,0,2,0,0,0,0,0,0
"bin_21_operams.faa_1_40",6,0,6,12,2,2,2,0,0
"bin_21_operams.faa_1_41",8,0,8,2,0,8,0,0,2
"bin_21_operams.faa_1_42",20,12,14,0,0,7,0,2,0
