"","Read_Count_A1","Read_Count_A2","Read_Count_A3","Read_Count_A4","Read_Count_A5","Read_Count_A6","Read_Count_A7","Read_Count_A8","Read_Count_A9"
"bin_25_operams.faa_1_1",4,10,0,5,2,0,0,22,14
"bin_25_operams.faa_1_10",6,81,6,21,7,80,13,97,108
"bin_25_operams.faa_1_100",0,2,2,8,0,4,0,0,9
"bin_25_operams.faa_1_101",4,6,14,0,0,15,0,8,17
"bin_25_operams.faa_1_102",0,0,2,5,0,2,3,4,10
"bin_25_operams.faa_1_103",4,67,10,38,4,26,2,62,139
"bin_25_operams.faa_1_104",44,80,20,66,16,6,0,68,147
"bin_25_operams.faa_1_105",4,37,20,43,14,33,2,60,121
"bin_25_operams.faa_1_106",2,6,8,12,6,11,0,13,66
"bin_25_operams.faa_1_107",10,23,11,15,4,20,8,20,58
"bin_25_operams.faa_1_108",0,3,8,3,0,1,0,8,36
"bin_25_operams.faa_1_109",0,2,0,0,0,0,0,0,97
"bin_25_operams.faa_1_11",19,140,20,69,18,189,18,196,263
"bin_25_operams.faa_1_110",1,5,2,10,1,0,0,5,33
"bin_25_operams.faa_1_111",0,3,4,1,0,6,0,6,12
"bin_25_operams.faa_1_112",2,12,0,0,0,0,0,12,29
"bin_25_operams.faa_1_113",2,23,12,14,4,9,0,21,28
"bin_25_operams.faa_1_114",0,1,0,2,0,2,0,3,0
"bin_25_operams.faa_1_115",2,3,2,0,2,0,0,5,8
"bin_25_operams.faa_1_116",0,4,2,0,0,10,0,6,18
"bin_25_operams.faa_1_117",5,6,0,4,0,0,0,19,137
"bin_25_operams.faa_1_118",0,0,0,0,2,0,0,0,7
"bin_25_operams.faa_1_119",0,11,2,8,0,6,0,12,175
"bin_25_operams.faa_1_12",9,8,0,4,2,6,0,32,10
"bin_25_operams.faa_1_120",2,11,16,6,1,1,2,4,105
"bin_25_operams.faa_1_121",14,177,58,75,24,69,12,105,140
"bin_25_operams.faa_1_122",6,46,14,8,0,27,0,16,30
"bin_25_operams.faa_1_123",4,12,7,2,2,32,12,35,22
"bin_25_operams.faa_1_124",18,81,37,53,8,73,3,168,80
"bin_25_operams.faa_1_125",14,147,51,53,18,128,18,377,229
"bin_25_operams.faa_1_126",16,51,53,56,19,67,8,72,112
"bin_25_operams.faa_1_127",0,12,4,20,2,9,0,10,17
"bin_25_operams.faa_1_128",5,23,25,21,8,43,8,85,96
"bin_25_operams.faa_1_129",4,30,12,15,6,33,6,47,42
"bin_25_operams.faa_1_13",0,5,0,2,2,9,4,12,20
"bin_25_operams.faa_1_130",0,27,14,10,2,26,6,24,43
"bin_25_operams.faa_1_131",5,51,50,37,16,90,2,69,100
"bin_25_operams.faa_1_132",0,33,24,12,0,8,2,46,75
"bin_25_operams.faa_1_133",12,51,24,9,12,27,0,40,47
"bin_25_operams.faa_1_134",14,28,31,24,4,44,2,33,98
"bin_25_operams.faa_1_135",0,2,4,0,0,6,0,9,3
"bin_25_operams.faa_1_136",0,2,0,0,0,2,0,2,199
"bin_25_operams.faa_1_137",0,46,33,44,6,42,6,48,120
"bin_25_operams.faa_1_138",2,21,9,15,3,2,0,4,37
"bin_25_operams.faa_1_139",53,372,242,156,31,158,22,206,190
"bin_25_operams.faa_1_14",0,4,2,0,4,7,0,2,16
"bin_25_operams.faa_1_140",0,0,0,0,0,0,0,0,3
"bin_25_operams.faa_1_141",4,17,11,4,0,10,0,34,35
"bin_25_operams.faa_1_142",6,25,26,50,6,32,2,40,43
"bin_25_operams.faa_1_143",0,0,4,0,2,2,0,7,29
"bin_25_operams.faa_1_144",0,8,20,9,0,14,0,22,59
"bin_25_operams.faa_1_145",10,39,9,44,6,28,4,21,220
"bin_25_operams.faa_1_146",0,30,8,14,0,14,2,4,147
"bin_25_operams.faa_1_147",4,8,4,4,1,12,0,15,51
"bin_25_operams.faa_1_148",0,27,1,6,6,22,0,27,172
"bin_25_operams.faa_1_149",0,8,0,0,2,8,0,8,26
"bin_25_operams.faa_1_15",4,42,30,34,6,38,2,59,71
"bin_25_operams.faa_1_150",0,12,0,0,2,2,0,8,38
"bin_25_operams.faa_1_151",0,12,8,14,2,5,1,6,38
"bin_25_operams.faa_1_152",2,64,19,16,9,36,10,104,264
"bin_25_operams.faa_1_153",0,0,2,0,0,0,0,2,13
"bin_25_operams.faa_1_154",0,3,0,7,0,0,0,2,148
"bin_25_operams.faa_1_155",2,0,0,0,0,3,0,0,178
"bin_25_operams.faa_1_156",0,3,0,0,0,4,0,9,183
"bin_25_operams.faa_1_157",2,10,0,8,0,1,0,11,81
"bin_25_operams.faa_1_158",5,10,0,8,2,2,0,17,62
"bin_25_operams.faa_1_159",4,17,10,14,2,4,0,24,45
"bin_25_operams.faa_1_16",2,11,7,9,0,11,2,23,27
"bin_25_operams.faa_1_160",0,4,5,2,0,4,0,10,56
"bin_25_operams.faa_1_161",4,5,0,0,0,3,0,2,3
"bin_25_operams.faa_1_162",22,75,51,54,19,134,20,85,162
"bin_25_operams.faa_1_163",1,8,6,10,0,4,0,4,54
"bin_25_operams.faa_1_164",4,4,0,8,0,5,0,14,6
"bin_25_operams.faa_1_165",1,6,6,0,4,0,0,4,40
"bin_25_operams.faa_1_166",0,3,0,0,0,2,0,4,50
"bin_25_operams.faa_1_167",0,6,0,2,0,4,2,4,2
"bin_25_operams.faa_1_168",0,6,3,6,5,22,0,33,23
"bin_25_operams.faa_1_169",0,2,4,0,0,4,0,4,9
"bin_25_operams.faa_1_17",6,40,20,16,6,32,0,55,95
"bin_25_operams.faa_1_170",12,8,10,4,3,0,0,30,121
"bin_25_operams.faa_1_171",0,12,0,4,3,8,6,12,50
"bin_25_operams.faa_1_172",0,0,0,0,0,0,0,0,36
"bin_25_operams.faa_1_173",0,6,4,0,0,5,0,4,9
"bin_25_operams.faa_1_174",1,4,0,0,0,0,0,1,48
"bin_25_operams.faa_1_175",6,31,25,6,0,14,0,53,110
"bin_25_operams.faa_1_176",18,22,0,8,4,43,2,54,3284
"bin_25_operams.faa_1_177",0,4,4,0,0,6,0,12,44
"bin_25_operams.faa_1_178",4,4,0,0,0,0,0,2,100
"bin_25_operams.faa_1_179",0,0,0,0,0,0,0,1,3
"bin_25_operams.faa_1_18",3,65,34,67,9,60,6,85,184
"bin_25_operams.faa_1_180",0,0,2,0,0,0,0,0,20
"bin_25_operams.faa_1_181",0,0,0,0,0,0,0,0,81
"bin_25_operams.faa_1_182",0,10,0,2,2,4,0,10,27
"bin_25_operams.faa_1_183",0,1,0,6,0,2,0,0,0
"bin_25_operams.faa_1_184",19,32,2,24,0,6,0,30,20
"bin_25_operams.faa_1_185",0,3,2,2,0,0,0,13,41
"bin_25_operams.faa_1_186",0,10,3,16,4,12,0,15,19
"bin_25_operams.faa_1_187",4,21,8,8,14,24,4,30,138
"bin_25_operams.faa_1_188",2,6,0,5,0,0,0,0,13
"bin_25_operams.faa_1_189",14,32,20,9,0,42,4,29,84
"bin_25_operams.faa_1_19",0,11,2,6,1,4,3,12,24
"bin_25_operams.faa_1_190",0,6,2,2,0,1,0,1,9
"bin_25_operams.faa_1_191",4,9,7,14,0,11,0,22,24
"bin_25_operams.faa_1_192",6,6,8,6,2,5,0,8,24
"bin_25_operams.faa_1_193",0,6,0,0,0,0,0,10,47
"bin_25_operams.faa_1_194",0,0,4,0,0,0,0,0,9
"bin_25_operams.faa_1_195",0,8,0,6,2,2,0,10,26
"bin_25_operams.faa_1_196",2,2,0,2,1,2,0,8,27
"bin_25_operams.faa_1_197",4,36,18,26,4,37,6,23,26
"bin_25_operams.faa_1_198",0,19,8,5,0,20,2,8,31
"bin_25_operams.faa_1_199",0,4,0,0,8,6,0,8,201
"bin_25_operams.faa_1_2",65,755,136,517,152,1756,230,2103,1556
"bin_25_operams.faa_1_20",2,12,2,2,2,20,0,16,8
"bin_25_operams.faa_1_200",6,7,2,0,0,4,4,23,30
"bin_25_operams.faa_1_201",39,44,3,34,3,7,0,14,9
"bin_25_operams.faa_1_202",110,121,36,42,8,13,4,34,12
"bin_25_operams.faa_1_203",4,0,2,10,0,0,0,2,12
"bin_25_operams.faa_1_204",0,0,0,0,0,0,0,0,0
"bin_25_operams.faa_1_205",0,6,8,7,0,6,0,14,27
"bin_25_operams.faa_1_206",0,0,0,0,2,0,0,0,3
"bin_25_operams.faa_1_207",2,46,18,31,8,29,6,57,69
"bin_25_operams.faa_1_208",0,0,8,0,4,2,0,4,20
"bin_25_operams.faa_1_209",0,0,0,0,0,0,0,1,0
"bin_25_operams.faa_1_21",6,59,10,20,14,50,14,35,89
"bin_25_operams.faa_1_210",3,18,3,17,2,0,0,6,57
"bin_25_operams.faa_1_211",2,2,5,4,0,4,0,4,12
"bin_25_operams.faa_1_212",0,5,2,4,2,3,0,15,11
"bin_25_operams.faa_1_213",2,10,0,8,0,4,0,6,58
"bin_25_operams.faa_1_214",0,2,0,0,0,2,0,4,41
"bin_25_operams.faa_1_215",0,3,2,4,0,8,0,15,17
"bin_25_operams.faa_1_216",6,60,26,28,8,69,4,94,80
"bin_25_operams.faa_1_217",17,109,38,26,26,59,0,109,201
"bin_25_operams.faa_1_218",2,23,0,10,1,8,0,33,39
"bin_25_operams.faa_1_219",0,13,7,4,1,4,0,15,37
"bin_25_operams.faa_1_22",1,11,8,0,0,1,0,2,31
"bin_25_operams.faa_1_220",6,44,35,17,5,53,8,100,149
