"","Read_Count_A1","Read_Count_A2","Read_Count_A3","Read_Count_A4","Read_Count_A5","Read_Count_A6","Read_Count_A7","Read_Count_A8","Read_Count_A9"
"bin_54_operams.faa_1_1",15,22,8,24,1,65,6,18,144
"bin_54_operams.faa_1_10",0,0,0,4,0,24,18,2,31
"bin_54_operams.faa_1_100",0,0,0,4,0,0,0,0,12
"bin_54_operams.faa_1_1000",0,0,0,0,0,6,0,3,5
"bin_54_operams.faa_1_1001",2,16,0,1,0,4,0,6,22
"bin_54_operams.faa_1_1002",0,1,2,2,2,0,0,0,42
"bin_54_operams.faa_1_1003",4,10,3,0,0,13,0,0,24
"bin_54_operams.faa_1_1004",8,12,4,14,0,8,2,8,40
"bin_54_operams.faa_1_1005",8,20,14,18,2,22,6,2,38
"bin_54_operams.faa_1_1006",0,6,0,0,0,0,0,0,32
"bin_54_operams.faa_1_1007",2,8,3,6,2,2,4,4,46
"bin_54_operams.faa_1_1008",12,13,0,6,1,25,2,6,33
"bin_54_operams.faa_1_1009",15,65,12,36,10,60,4,12,147
"bin_54_operams.faa_1_101",2,18,0,8,0,16,0,8,24
"bin_54_operams.faa_1_1010",2,22,2,8,0,32,2,6,39
"bin_54_operams.faa_1_1011",2,4,0,2,2,13,0,0,7
"bin_54_operams.faa_1_1012",0,8,8,0,0,2,0,0,33
"bin_54_operams.faa_1_1013",0,14,0,12,0,2,0,8,64
"bin_54_operams.faa_1_1014",4,23,6,24,0,0,0,5,56
"bin_54_operams.faa_1_1015",8,42,4,16,1,2,0,17,62
"bin_54_operams.faa_1_1016",2,25,0,6,2,28,6,7,77
"bin_54_operams.faa_1_1017",8,25,2,10,0,25,2,13,37
"bin_54_operams.faa_1_1018",6,50,2,22,2,13,2,10,97
"bin_54_operams.faa_1_1019",0,12,2,17,0,6,0,2,44
"bin_54_operams.faa_1_102",8,12,2,0,2,25,0,2,46
"bin_54_operams.faa_1_1020",0,10,6,3,1,4,0,0,14
"bin_54_operams.faa_1_1021",0,4,6,6,0,6,0,5,29
"bin_54_operams.faa_1_1022",0,0,0,2,0,9,0,2,20
"bin_54_operams.faa_1_1023",4,10,0,12,4,10,2,4,48
"bin_54_operams.faa_1_1024",0,18,0,6,8,27,6,10,58
"bin_54_operams.faa_1_1025",5,0,4,10,2,6,2,2,18
"bin_54_operams.faa_1_1026",4,8,5,0,2,4,6,4,25
"bin_54_operams.faa_1_1027",0,4,0,3,0,6,0,0,8
"bin_54_operams.faa_1_1028",4,4,0,20,2,5,0,6,2
"bin_54_operams.faa_1_1029",6,22,4,32,2,12,2,10,36
"bin_54_operams.faa_1_103",0,8,2,8,0,14,5,8,47
"bin_54_operams.faa_1_1030",8,20,10,6,0,11,0,0,8
"bin_54_operams.faa_1_1031",15,42,2,8,0,22,8,15,36
"bin_54_operams.faa_1_1032",2,6,8,5,0,18,0,4,15
"bin_54_operams.faa_1_1033",4,22,2,2,2,17,0,4,22
"bin_54_operams.faa_1_1034",4,17,10,12,2,20,0,6,52
"bin_54_operams.faa_1_1035",17,12,9,20,0,38,4,8,56
"bin_54_operams.faa_1_1036",10,47,4,6,4,126,4,12,123
"bin_54_operams.faa_1_1037",39,81,22,56,4,175,21,21,176
"bin_54_operams.faa_1_1038",3,4,0,10,6,22,3,1,23
"bin_54_operams.faa_1_1039",2,10,8,2,0,9,0,0,22
"bin_54_operams.faa_1_104",0,9,0,4,0,10,0,6,29
"bin_54_operams.faa_1_1040",17,19,8,16,6,61,14,8,27
"bin_54_operams.faa_1_1041",1,11,4,1,0,22,0,0,27
"bin_54_operams.faa_1_1042",46,73,36,48,16,208,26,22,99
"bin_54_operams.faa_1_1043",0,0,1,0,0,0,0,1,0
"bin_54_operams.faa_1_1044",10,31,11,6,1,80,16,20,48
"bin_54_operams.faa_1_1045",6,18,4,3,0,28,4,1,20
"bin_54_operams.faa_1_1046",45,93,48,28,0,205,18,17,183
"bin_54_operams.faa_1_1047",8,15,16,8,0,26,6,3,27
"bin_54_operams.faa_1_1048",10,20,8,10,0,39,2,2,30
"bin_54_operams.faa_1_1049",6,3,8,6,0,22,0,2,19
"bin_54_operams.faa_1_105",38,55,16,28,9,83,9,38,106
"bin_54_operams.faa_1_1050",20,53,14,41,8,51,8,7,91
"bin_54_operams.faa_1_1051",5,23,13,26,0,32,3,15,56
"bin_54_operams.faa_1_1052",54,57,37,57,2,184,20,14,118
"bin_54_operams.faa_1_1053",12,19,8,20,0,33,10,8,49
"bin_54_operams.faa_1_1054",119,270,149,180,15,625,82,82,385
"bin_54_operams.faa_1_1055",115,148,60,87,8,475,81,59,346
"bin_54_operams.faa_1_1056",46,83,24,67,10,475,107,53,365
"bin_54_operams.faa_1_1057",0,2,2,0,0,7,2,2,16
"bin_54_operams.faa_1_1058",0,2,0,0,0,6,0,0,22
"bin_54_operams.faa_1_1059",2,45,4,8,3,95,10,12,172
"bin_54_operams.faa_1_106",7,4,4,14,2,6,0,2,17
"bin_54_operams.faa_1_1060",0,10,2,4,0,13,0,5,32
"bin_54_operams.faa_1_1061",2,2,1,2,0,10,0,0,0
"bin_54_operams.faa_1_1062",0,2,0,3,0,3,0,6,13
"bin_54_operams.faa_1_1063",0,2,0,0,0,0,0,0,0
"bin_54_operams.faa_1_1064",0,1,0,0,0,0,0,0,3
"bin_54_operams.faa_1_1065",0,4,2,12,0,10,0,6,28
"bin_54_operams.faa_1_1066",5,2,0,6,0,17,4,0,10
"bin_54_operams.faa_1_1067",8,16,2,0,2,14,0,2,22
"bin_54_operams.faa_1_1068",2,3,0,6,0,2,1,0,7
"bin_54_operams.faa_1_1069",2,4,0,4,0,14,0,2,2
"bin_54_operams.faa_1_107",0,16,2,6,2,28,8,2,70
"bin_54_operams.faa_1_1070",0,0,0,0,0,6,0,3,8
"bin_54_operams.faa_1_1071",2,11,4,8,4,30,8,6,32
"bin_54_operams.faa_1_1072",0,10,0,2,1,11,0,4,24
"bin_54_operams.faa_1_1073",4,8,4,0,0,13,4,0,13
"bin_54_operams.faa_1_1074",3,17,8,0,4,20,4,5,36
"bin_54_operams.faa_1_1075",1,12,4,8,1,8,2,8,68
"bin_54_operams.faa_1_1076",0,7,6,14,2,14,0,2,39
"bin_54_operams.faa_1_1077",6,14,0,5,0,22,0,2,74
"bin_54_operams.faa_1_1078",4,17,9,15,4,36,8,16,94
"bin_54_operams.faa_1_1079",0,7,4,6,0,17,4,6,36
"bin_54_operams.faa_1_108",18,26,8,18,1,36,2,9,99
"bin_54_operams.faa_1_1080",0,10,1,2,2,23,4,6,56
"bin_54_operams.faa_1_1081",2,4,2,0,2,8,4,6,22
"bin_54_operams.faa_1_1082",1,0,0,12,2,10,0,0,4
"bin_54_operams.faa_1_1083",4,4,0,2,2,4,0,9,10
"bin_54_operams.faa_1_1084",0,2,8,2,0,1,2,2,16
"bin_54_operams.faa_1_1085",2,7,6,0,0,8,0,0,27
"bin_54_operams.faa_1_1086",0,2,0,0,2,4,0,0,0
"bin_54_operams.faa_1_1087",1,0,0,0,0,0,0,0,0
"bin_54_operams.faa_1_1088",0,1,0,0,0,0,0,0,0
"bin_54_operams.faa_1_1089",7,14,0,2,0,6,2,4,22
"bin_54_operams.faa_1_109",4,27,1,12,0,18,2,8,61
"bin_54_operams.faa_1_1090",1,3,0,4,0,0,0,0,6
"bin_54_operams.faa_1_1091",4,6,0,0,0,8,0,3,7
"bin_54_operams.faa_1_1092",1,4,0,0,0,44,0,2,32
"bin_54_operams.faa_1_1093",0,2,0,4,2,25,0,2,27
"bin_54_operams.faa_1_1094",2,0,0,0,0,8,1,2,24
"bin_54_operams.faa_1_1095",0,11,1,0,0,16,4,5,16
"bin_54_operams.faa_1_1096",0,10,0,6,0,6,0,2,21
"bin_54_operams.faa_1_1097",4,11,4,6,0,27,8,3,55
"bin_54_operams.faa_1_1098",4,24,2,2,2,24,4,3,48
"bin_54_operams.faa_1_1099",7,19,4,6,0,9,0,7,70
"bin_54_operams.faa_1_11",6,0,0,0,0,9,2,2,32
"bin_54_operams.faa_1_110",2,8,14,25,2,31,0,10,38
"bin_54_operams.faa_1_1100",0,0,0,0,0,2,0,4,45
"bin_54_operams.faa_1_1101",2,0,0,0,0,1,0,0,26
"bin_54_operams.faa_1_1102",1,6,0,4,1,3,0,8,271
"bin_54_operams.faa_1_1103",2,12,0,8,6,19,0,4,178
"bin_54_operams.faa_1_1104",6,21,14,4,1,57,4,5,204
"bin_54_operams.faa_1_1105",6,12,2,0,4,89,6,4,169
"bin_54_operams.faa_1_1106",2,0,0,0,0,0,0,0,4
"bin_54_operams.faa_1_1107",2,6,0,0,0,0,0,2,7
"bin_54_operams.faa_1_1108",3,4,0,4,2,9,0,4,51
