"","Read_Count_A1","Read_Count_A2","Read_Count_A3","Read_Count_A4","Read_Count_A5","Read_Count_A6","Read_Count_A7","Read_Count_A8","Read_Count_A9"
"bin_10_unicycler.faa_1_176",146,334,183,201,98,44,2,70,76
"bin_10_unicycler.faa_1_177",194,279,127,183,94,51,7,65,64
"bin_10_unicycler.faa_1_178",157,558,181,212,83,83,5,80,86
"bin_10_unicycler.faa_1_179",183,624,151,246,98,57,12,67,65
"bin_10_unicycler.faa_1_18",151,434,219,204,104,79,26,32,66
"bin_10_unicycler.faa_1_180",252,678,182,289,119,112,0,103,144
"bin_10_unicycler.faa_1_181",67,94,61,86,31,22,0,24,24
"bin_10_unicycler.faa_1_182",379,1234,476,590,168,179,15,160,227
"bin_10_unicycler.faa_1_183",474,1254,418,566,140,139,20,202,224
"bin_10_unicycler.faa_1_184",88,393,66,145,36,24,0,51,64
"bin_10_unicycler.faa_1_185",151,407,109,190,43,33,6,59,68
"bin_10_unicycler.faa_1_186",19,22,2,7,7,2,2,2,2
"bin_10_unicycler.faa_1_187",1,5,0,14,2,1,0,0,5
"bin_10_unicycler.faa_1_188",4,17,8,22,5,8,0,0,6
"bin_10_unicycler.faa_1_189",43,85,46,44,20,16,0,25,28
"bin_10_unicycler.faa_1_19",470,1081,484,590,295,215,25,79,185
"bin_10_unicycler.faa_1_190",66,122,40,105,34,14,0,13,46
"bin_10_unicycler.faa_1_191",9,15,0,18,4,6,0,3,2
"bin_10_unicycler.faa_1_192",26,76,30,32,22,32,2,18,20
"bin_10_unicycler.faa_1_193",42,83,19,35,18,9,5,15,14
"bin_10_unicycler.faa_1_194",5,40,7,14,14,6,1,1,16
"bin_10_unicycler.faa_1_195",8,6,0,4,5,2,0,0,0
"bin_10_unicycler.faa_1_196",2,0,0,2,4,0,0,2,0
"bin_10_unicycler.faa_1_197",27,10,14,36,25,0,0,0,2
"bin_10_unicycler.faa_1_198",381,1123,341,567,1672,339,16,129,172
"bin_10_unicycler.faa_1_199",108,352,90,185,473,66,8,28,46
"bin_10_unicycler.faa_1_2",7,27,8,19,2,19,0,6,5
"bin_10_unicycler.faa_1_20",284,483,171,283,68,72,12,63,99
"bin_10_unicycler.faa_1_200",83,206,47,106,325,51,10,19,29
"bin_10_unicycler.faa_1_201",255,774,328,348,1729,263,8,51,98
"bin_10_unicycler.faa_1_202",731,1757,586,1027,3004,334,17,164,282
"bin_10_unicycler.faa_1_203",87,116,30,67,221,23,4,12,11
"bin_10_unicycler.faa_1_204",152,418,247,180,10,48,12,50,66
"bin_10_unicycler.faa_1_205",1021,3694,1614,1704,76,303,19,442,796
"bin_10_unicycler.faa_1_206",182,620,255,332,21,48,2,122,145
"bin_10_unicycler.faa_1_207",113,295,94,125,18,20,2,28,69
"bin_10_unicycler.faa_1_208",1044,2220,1127,1225,158,267,15,274,462
"bin_10_unicycler.faa_1_209",412,829,387,959,17,69,11,130,212
"bin_10_unicycler.faa_1_21",543,1661,575,840,199,237,44,181,246
"bin_10_unicycler.faa_1_210",228,641,304,360,56,48,0,62,103
"bin_10_unicycler.faa_1_211",121,280,91,118,26,46,8,42,48
"bin_10_unicycler.faa_1_212",122,334,142,142,98,90,12,39,86
"bin_10_unicycler.faa_1_213",159,520,170,240,104,94,6,57,45
"bin_10_unicycler.faa_1_214",290,847,324,498,178,105,14,90,137
"bin_10_unicycler.faa_1_215",249,896,377,497,104,118,12,79,124
