"","Read_Count_A1","Read_Count_A2","Read_Count_A3","Read_Count_A4","Read_Count_A5","Read_Count_A6","Read_Count_A7","Read_Count_A8","Read_Count_A9"
"bin_20_operams.faa_1_1",82,40,57,40,0,0,0,4,31
"bin_20_operams.faa_1_10",49,31,72,32,0,0,0,9,8
"bin_20_operams.faa_1_100",327,237,328,268,3,2,4,26,176
"bin_20_operams.faa_1_101",54,60,64,46,0,0,0,2,2
"bin_20_operams.faa_1_102",18,36,59,24,2,0,0,19,2
"bin_20_operams.faa_1_103",45,38,38,14,0,0,0,11,13
"bin_20_operams.faa_1_104",20,17,25,10,2,2,0,0,5
"bin_20_operams.faa_1_105",77,61,105,41,0,0,0,22,18
"bin_20_operams.faa_1_106",2,9,11,10,0,0,0,0,0
"bin_20_operams.faa_1_107",12,8,7,6,0,0,0,2,0
"bin_20_operams.faa_1_108",48,32,40,9,0,0,0,4,10
"bin_20_operams.faa_1_109",33,21,20,11,0,0,0,2,2
"bin_20_operams.faa_1_11",29,16,60,11,0,0,0,4,5
"bin_20_operams.faa_1_110",0,0,0,0,0,0,0,0,0
"bin_20_operams.faa_1_111",0,0,0,0,0,0,0,0,0
"bin_20_operams.faa_1_112",2,0,4,0,0,0,0,0,0
"bin_20_operams.faa_1_113",0,0,0,0,0,0,0,0,2
"bin_20_operams.faa_1_114",4,5,26,8,0,0,0,3,6
"bin_20_operams.faa_1_115",0,0,0,4,0,0,0,2,0
"bin_20_operams.faa_1_116",0,0,14,0,0,0,0,2,2
"bin_20_operams.faa_1_117",2,7,12,0,0,0,0,5,10
"bin_20_operams.faa_1_118",2,0,0,0,0,0,0,0,0
"bin_20_operams.faa_1_119",42,21,42,10,2,0,0,13,46
"bin_20_operams.faa_1_12",17,25,18,11,0,0,0,0,0
"bin_20_operams.faa_1_120",2,0,4,0,0,0,0,0,0
"bin_20_operams.faa_1_121",0,0,0,0,0,0,0,0,0
"bin_20_operams.faa_1_122",0,0,2,0,0,0,0,0,0
"bin_20_operams.faa_1_123",12,4,8,6,0,0,0,2,0
"bin_20_operams.faa_1_124",5,2,2,4,0,0,0,0,0
"bin_20_operams.faa_1_125",2,0,0,0,1,0,0,2,0
"bin_20_operams.faa_1_126",6,11,11,2,0,0,0,0,0
"bin_20_operams.faa_1_127",69,45,94,31,2,0,0,5,20
"bin_20_operams.faa_1_128",19,22,6,26,0,0,0,2,6
"bin_20_operams.faa_1_129",24,27,45,12,0,0,0,0,2
"bin_20_operams.faa_1_13",30,35,31,45,0,0,0,2,24
"bin_20_operams.faa_1_130",34,18,8,24,0,4,0,6,6
"bin_20_operams.faa_1_131",82,34,31,24,0,0,0,4,10
"bin_20_operams.faa_1_132",32,32,8,28,0,0,0,2,2
"bin_20_operams.faa_1_133",78,30,39,20,0,0,0,2,8
"bin_20_operams.faa_1_134",24,26,33,22,0,0,0,0,8
"bin_20_operams.faa_1_135",70,59,85,20,0,0,0,7,12
"bin_20_operams.faa_1_136",41,18,18,13,0,0,0,0,0
"bin_20_operams.faa_1_137",48,60,56,34,0,0,0,15,12
"bin_20_operams.faa_1_138",435,341,378,279,2,0,0,40,68
"bin_20_operams.faa_1_139",9,7,14,3,0,0,0,0,0
"bin_20_operams.faa_1_14",56,23,28,21,0,0,0,0,10
"bin_20_operams.faa_1_140",42,21,35,34,0,0,0,3,2
"bin_20_operams.faa_1_141",39,14,44,41,0,2,0,0,8
"bin_20_operams.faa_1_142",18,4,14,6,0,0,0,0,2
"bin_20_operams.faa_1_143",22,13,24,24,0,0,0,4,2
"bin_20_operams.faa_1_144",24,25,35,6,0,0,0,4,6
"bin_20_operams.faa_1_145",26,16,38,4,0,0,0,2,1
"bin_20_operams.faa_1_146",36,33,22,25,1,0,0,4,10
"bin_20_operams.faa_1_147",91,52,104,64,0,0,0,6,10
"bin_20_operams.faa_1_148",47,37,40,32,0,0,0,1,0
"bin_20_operams.faa_1_149",106,64,88,65,0,0,0,6,16
"bin_20_operams.faa_1_15",23,20,22,22,0,0,0,2,0
"bin_20_operams.faa_1_150",160,174,256,108,0,0,0,10,44
"bin_20_operams.faa_1_151",144,141,93,71,2,0,0,6,7
"bin_20_operams.faa_1_152",140,117,120,49,0,0,0,5,7
"bin_20_operams.faa_1_153",73,30,15,18,0,0,1,8,6
"bin_20_operams.faa_1_154",6,0,4,7,0,0,4,0,0
"bin_20_operams.faa_1_16",0,0,0,0,2,0,0,0,0
"bin_20_operams.faa_1_17",0,0,0,0,0,0,0,0,0
"bin_20_operams.faa_1_18",0,0,0,0,0,0,0,0,0
"bin_20_operams.faa_1_19",0,0,0,2,0,0,0,0,0
"bin_20_operams.faa_1_2",2,1,6,0,0,0,0,0,2
"bin_20_operams.faa_1_20",1,0,0,0,0,0,0,0,0
"bin_20_operams.faa_1_21",0,0,0,0,0,0,0,0,0
"bin_20_operams.faa_1_22",0,0,0,0,0,0,0,0,0
"bin_20_operams.faa_1_23",0,0,2,6,0,0,0,0,0
"bin_20_operams.faa_1_24",254,222,191,171,0,2,0,20,39
"bin_20_operams.faa_1_25",35,17,24,20,0,0,0,4,0
"bin_20_operams.faa_1_26",13,13,10,14,4,0,0,2,2
"bin_20_operams.faa_1_27",119,82,97,89,0,0,6,10,29
"bin_20_operams.faa_1_28",155,77,150,70,0,0,0,18,31
"bin_20_operams.faa_1_29",25,22,35,36,0,0,0,6,4
"bin_20_operams.faa_1_3",26,34,20,12,2,0,0,4,6
"bin_20_operams.faa_1_30",18,10,14,12,0,0,0,2,6
"bin_20_operams.faa_1_31",72,56,149,36,0,0,4,10,10
"bin_20_operams.faa_1_32",125,148,174,120,2,0,0,11,38
"bin_20_operams.faa_1_33",8,12,11,10,0,0,0,5,0
"bin_20_operams.faa_1_34",26,19,26,20,0,0,0,4,6
"bin_20_operams.faa_1_35",5,4,18,0,0,0,0,2,2
"bin_20_operams.faa_1_36",60,10,48,6,0,0,0,4,10
"bin_20_operams.faa_1_37",32,28,46,14,0,0,0,2,10
"bin_20_operams.faa_1_38",24,9,44,16,0,0,0,6,4
"bin_20_operams.faa_1_39",6,14,2,1,0,0,0,0,10
"bin_20_operams.faa_1_4",18,19,20,2,0,0,0,0,0
"bin_20_operams.faa_1_40",99,169,170,102,0,4,0,10,28
"bin_20_operams.faa_1_41",80,37,23,36,0,0,0,4,16
"bin_20_operams.faa_1_42",2,1,0,0,0,0,0,0,0
"bin_20_operams.faa_1_43",238,167,152,133,1,0,0,13,56
"bin_20_operams.faa_1_44",70,49,81,29,0,0,0,8,4
"bin_20_operams.faa_1_45",139,80,63,41,0,2,0,6,10
"bin_20_operams.faa_1_46",8,4,6,6,0,0,0,0,0
"bin_20_operams.faa_1_47",1,2,8,0,0,0,0,2,6
"bin_20_operams.faa_1_48",11,10,6,1,0,0,4,0,2
"bin_20_operams.faa_1_49",34,15,40,6,0,0,0,4,14
"bin_20_operams.faa_1_5",20,11,18,20,0,0,0,2,6
"bin_20_operams.faa_1_50",52,44,53,12,0,0,0,0,9
"bin_20_operams.faa_1_51",66,24,43,6,0,0,0,5,4
"bin_20_operams.faa_1_52",9,8,37,2,0,0,0,2,21
"bin_20_operams.faa_1_53",16,4,17,0,0,0,0,0,9
"bin_20_operams.faa_1_54",26,19,42,6,0,0,0,7,20
"bin_20_operams.faa_1_55",109,98,168,44,0,0,0,20,89
"bin_20_operams.faa_1_56",37,17,47,36,0,0,0,5,10
"bin_20_operams.faa_1_57",115,116,207,90,0,0,0,22,64
"bin_20_operams.faa_1_58",79,34,111,35,0,0,0,14,19
"bin_20_operams.faa_1_59",146,62,194,47,0,0,0,14,85
"bin_20_operams.faa_1_6",6,32,18,32,0,0,0,6,0
"bin_20_operams.faa_1_60",115,40,37,21,2,0,0,5,16
"bin_20_operams.faa_1_61",16,5,21,12,2,0,0,1,2
"bin_20_operams.faa_1_62",64,36,43,32,0,0,0,14,23
"bin_20_operams.faa_1_63",24,12,7,3,0,2,0,4,5
"bin_20_operams.faa_1_64",9,5,10,0,0,0,0,0,6
"bin_20_operams.faa_1_65",12,6,6,4,0,0,0,0,3
"bin_20_operams.faa_1_66",18,4,18,2,0,0,0,4,0
"bin_20_operams.faa_1_67",26,12,18,2,0,0,0,1,4
"bin_20_operams.faa_1_68",54,14,22,16,0,0,0,2,4
"bin_20_operams.faa_1_69",11,4,2,0,0,0,0,0,0
"bin_20_operams.faa_1_7",69,43,96,20,0,0,0,4,8
"bin_20_operams.faa_1_70",146,12,63,13,6,0,0,12,34
"bin_20_operams.faa_1_71",123,18,61,6,0,0,0,6,6
"bin_20_operams.faa_1_72",12,3,10,12,0,0,0,2,4
"bin_20_operams.faa_1_73",29,14,16,6,0,0,0,2,2
"bin_20_operams.faa_1_74",9,8,4,6,0,0,0,2,6
"bin_20_operams.faa_1_75",131,96,105,104,1,2,0,9,6
"bin_20_operams.faa_1_76",232,105,83,109,0,0,0,9,11
"bin_20_operams.faa_1_77",15,48,34,51,0,0,0,3,12
"bin_20_operams.faa_1_78",12,8,7,0,2,0,0,0,0
"bin_20_operams.faa_1_79",69,68,39,43,0,0,0,5,24
"bin_20_operams.faa_1_8",19,21,17,9,0,0,0,0,1
"bin_20_operams.faa_1_80",88,105,107,100,0,0,0,10,14
"bin_20_operams.faa_1_81",24,16,24,13,0,4,0,2,4
"bin_20_operams.faa_1_82",48,26,48,22,0,0,4,2,3
"bin_20_operams.faa_1_83",6,4,2,0,0,0,0,0,0
"bin_20_operams.faa_1_84",34,40,32,38,0,0,0,4,1
"bin_20_operams.faa_1_85",36,10,22,26,0,0,0,0,10
"bin_20_operams.faa_1_86",209,181,168,157,0,0,0,6,10
"bin_20_operams.faa_1_87",142,80,89,44,0,0,0,12,10
"bin_20_operams.faa_1_88",12,10,32,18,0,0,0,4,0
"bin_20_operams.faa_1_89",195,130,200,146,0,2,0,6,32
"bin_20_operams.faa_1_9",29,47,57,44,0,4,0,2,19
"bin_20_operams.faa_1_90",28,10,11,6,0,0,0,2,0
"bin_20_operams.faa_1_91",6,2,0,2,0,0,0,0,0
"bin_20_operams.faa_1_92",44,65,62,30,0,0,0,3,4
"bin_20_operams.faa_1_93",114,47,76,76,0,0,0,3,18
"bin_20_operams.faa_1_94",106,62,123,52,0,0,0,4,16
"bin_20_operams.faa_1_95",144,49,72,26,2,0,0,4,22
"bin_20_operams.faa_1_96",4,7,7,1,0,0,0,8,0
"bin_20_operams.faa_1_97",29,35,68,28,2,0,0,2,2
"bin_20_operams.faa_1_98",2,1,1,0,0,0,0,0,0
"bin_20_operams.faa_1_99",93,131,152,96,0,2,0,16,61
"bin_20_operams.faa_10_1",44,10,18,4,0,0,0,4,12
"bin_20_operams.faa_10_10",136,167,209,111,0,0,0,6,19
"bin_20_operams.faa_10_11",48,38,37,38,0,0,0,3,4
"bin_20_operams.faa_10_12",12,12,11,25,0,0,0,0,5
"bin_20_operams.faa_10_13",75,94,144,82,2,2,0,11,41
"bin_20_operams.faa_10_14",104,120,167,93,0,0,0,6,24
"bin_20_operams.faa_10_15",8,2,8,0,0,0,0,4,0
"bin_20_operams.faa_10_16",2,2,5,4,0,0,0,0,0
"bin_20_operams.faa_10_17",293,234,314,176,0,6,2,36,64
"bin_20_operams.faa_10_18",88,65,87,61,0,0,0,5,18
"bin_20_operams.faa_10_19",12,12,7,6,0,0,0,4,0
"bin_20_operams.faa_10_2",4,0,5,0,0,0,0,1,0
"bin_20_operams.faa_10_20",123,109,135,97,0,2,0,19,34
"bin_20_operams.faa_10_21",62,80,64,66,0,0,0,2,18
"bin_20_operams.faa_10_22",87,52,65,59,0,0,0,8,6
"bin_20_operams.faa_10_23",175,178,106,116,0,2,0,16,52
"bin_20_operams.faa_10_24",96,40,46,53,6,0,0,4,8
"bin_20_operams.faa_10_25",147,112,142,93,4,0,0,8,10
"bin_20_operams.faa_10_26",71,71,93,92,2,0,0,2,10
"bin_20_operams.faa_10_27",26,25,9,18,0,0,0,0,0
"bin_20_operams.faa_10_28",5,6,20,2,0,0,0,0,2
"bin_20_operams.faa_10_29",2,5,2,2,0,0,0,0,0
"bin_20_operams.faa_10_3",65,75,58,39,0,0,0,4,14
"bin_20_operams.faa_10_30",4,2,4,2,0,0,0,0,0
"bin_20_operams.faa_10_31",152,238,151,149,1,0,0,12,44
"bin_20_operams.faa_10_32",34,24,28,20,0,0,0,0,6
"bin_20_operams.faa_10_33",102,131,111,44,0,0,0,2,2
"bin_20_operams.faa_10_34",28,18,8,19,0,0,0,2,8
"bin_20_operams.faa_10_4",194,119,156,134,0,0,0,2,28
"bin_20_operams.faa_10_5",144,133,126,166,0,0,0,9,36
"bin_20_operams.faa_10_6",46,21,16,4,0,0,0,1,2
"bin_20_operams.faa_10_7",127,73,62,62,0,0,0,4,11
"bin_20_operams.faa_10_8",28,29,38,32,2,0,0,2,6
"bin_20_operams.faa_10_9",48,42,31,21,0,2,0,6,10
"bin_20_operams.faa_100_1",23,13,27,7,0,0,0,2,6
"bin_20_operams.faa_100_2",0,6,0,0,0,0,0,0,2
"bin_20_operams.faa_101_1",5,6,0,9,0,1,0,0,6
"bin_20_operams.faa_101_2",0,0,0,0,0,0,0,0,0
"bin_20_operams.faa_101_3",0,1,3,1,0,0,0,0,0
"bin_20_operams.faa_101_4",2,0,0,2,0,0,0,0,0
"bin_20_operams.faa_101_5",0,4,4,0,0,0,0,0,0
"bin_20_operams.faa_101_6",0,0,0,0,0,0,0,0,0
"bin_20_operams.faa_102_1",8,6,10,6,0,0,0,2,0
"bin_20_operams.faa_102_2",95,43,51,43,0,0,0,0,0
"bin_20_operams.faa_103_1",17,7,2,0,5,5,0,4,12
"bin_20_operams.faa_103_2",57,23,14,20,0,0,0,0,2
"bin_20_operams.faa_103_3",52,18,25,15,0,0,0,2,0
"bin_20_operams.faa_103_4",23,27,16,22,5,5,1,0,0
"bin_20_operams.faa_103_5",67,88,93,50,9,42,12,18,50
"bin_20_operams.faa_104_1",43,52,67,47,0,0,0,0,8
"bin_20_operams.faa_104_2",9,4,4,11,0,0,0,0,0
"bin_20_operams.faa_104_3",6,0,0,0,0,0,0,0,2
"bin_20_operams.faa_105_1",5,8,5,0,0,0,0,2,0
"bin_20_operams.faa_105_2",102,167,106,105,0,2,0,12,26
"bin_20_operams.faa_105_3",114,115,120,99,4,6,0,20,36
"bin_20_operams.faa_105_4",6,2,2,0,0,0,0,0,2
"bin_20_operams.faa_106_1",2,1,1,2,0,0,0,1,1
"bin_20_operams.faa_106_2",0,13,24,36,0,0,0,0,0
"bin_20_operams.faa_106_3",49,132,135,119,13,64,14,18,17
"bin_20_operams.faa_107_1",45,20,40,18,2,6,0,2,3
"bin_20_operams.faa_107_2",4,1,6,1,0,0,0,0,0
"bin_20_operams.faa_108_1",2,5,0,14,0,0,0,0,0
"bin_20_operams.faa_108_2",40,24,32,8,2,0,0,4,0
"bin_20_operams.faa_108_3",16,14,6,3,0,0,0,3,0
"bin_20_operams.faa_108_4",11,3,0,5,0,2,0,1,0
"bin_20_operams.faa_109_1",0,0,0,0,0,0,0,0,0
"bin_20_operams.faa_109_2",108,65,129,34,2,0,0,0,16
"bin_20_operams.faa_109_3",17,8,10,11,0,0,0,0,0
"bin_20_operams.faa_11_1",8,0,0,0,0,0,0,0,0
"bin_20_operams.faa_11_10",64,40,58,50,0,0,0,10,20
"bin_20_operams.faa_11_11",119,82,46,58,2,0,0,11,10
"bin_20_operams.faa_11_12",82,91,51,45,0,0,0,2,39
"bin_20_operams.faa_11_13",17,23,7,7,0,0,0,2,0
"bin_20_operams.faa_11_14",13,8,5,3,0,0,0,0,0
"bin_20_operams.faa_11_15",7,6,6,4,0,0,0,2,0
