"","Read_Count_A1","Read_Count_A2","Read_Count_A3","Read_Count_A4","Read_Count_A5","Read_Count_A6","Read_Count_A7","Read_Count_A8","Read_Count_A9"
"bin_24_unicycler.faa_1_1",27,40,30,26,13,0,0,0,0
"bin_24_unicycler.faa_1_10",3,0,0,1,3,0,0,0,0
"bin_24_unicycler.faa_1_100",1102,1216,958,846,312,45,8,40,31
"bin_24_unicycler.faa_1_101",573,703,455,410,198,25,8,22,12
"bin_24_unicycler.faa_1_102",474,692,428,382,142,16,8,14,17
"bin_24_unicycler.faa_1_103",120,135,53,105,55,4,0,0,7
"bin_24_unicycler.faa_1_104",152,287,141,167,3,0,0,13,8
"bin_24_unicycler.faa_1_105",22,41,33,42,1,0,0,0,0
"bin_24_unicycler.faa_1_106",80,164,79,120,4,0,0,2,0
"bin_24_unicycler.faa_1_107",58,97,116,72,26,2,0,8,2
"bin_24_unicycler.faa_1_108",103,130,70,116,2,0,0,4,4
"bin_24_unicycler.faa_1_109",94,89,51,79,7,0,0,0,0
"bin_24_unicycler.faa_1_11",8,2,0,0,4,2,0,0,2
"bin_24_unicycler.faa_1_110",26,16,17,12,9,0,0,0,0
"bin_24_unicycler.faa_1_111",1403,2040,1478,1326,33,4,0,38,10
"bin_24_unicycler.faa_1_112",6,29,24,17,13,1,0,0,0
"bin_24_unicycler.faa_1_113",14,11,6,11,6,0,0,0,0
"bin_24_unicycler.faa_1_114",626,669,766,657,86,16,2,12,23
"bin_24_unicycler.faa_1_115",44,50,68,55,17,0,0,2,2
"bin_24_unicycler.faa_1_116",68,85,98,71,16,1,0,4,2
"bin_24_unicycler.faa_1_117",128,104,167,120,14,1,0,12,4
"bin_24_unicycler.faa_1_118",342,456,551,342,83,12,0,18,14
"bin_24_unicycler.faa_1_119",340,376,448,335,91,16,2,21,2
"bin_24_unicycler.faa_1_12",20,6,29,6,9,0,0,0,0
"bin_24_unicycler.faa_1_120",337,400,279,329,25,2,6,10,2
"bin_24_unicycler.faa_1_121",629,783,567,587,73,6,8,24,14
"bin_24_unicycler.faa_1_122",540,645,456,580,34,0,0,24,9
"bin_24_unicycler.faa_1_123",757,634,520,469,75,14,0,18,16
"bin_24_unicycler.faa_1_124",162,170,237,155,35,2,0,6,4
"bin_24_unicycler.faa_1_125",197,272,264,242,45,4,8,3,6
"bin_24_unicycler.faa_1_126",193,234,146,201,17,2,0,14,8
"bin_24_unicycler.faa_1_127",92,89,55,66,5,0,0,4,8
"bin_24_unicycler.faa_1_128",1502,893,1205,811,700,45,4,54,56
"bin_24_unicycler.faa_1_129",515,179,254,147,101,10,0,14,17
"bin_24_unicycler.faa_1_13",46,69,33,47,16,0,0,4,0
"bin_24_unicycler.faa_1_130",350,190,187,123,152,4,2,6,6
"bin_24_unicycler.faa_1_131",325,113,176,95,86,6,0,10,6
"bin_24_unicycler.faa_1_132",61,70,57,74,15,0,0,4,1
"bin_24_unicycler.faa_1_133",74,88,56,46,24,0,0,6,2
"bin_24_unicycler.faa_1_134",182,241,233,159,62,4,0,6,0
"bin_24_unicycler.faa_1_135",561,715,918,514,247,38,6,23,20
"bin_24_unicycler.faa_1_136",222,300,255,251,48,8,0,9,10
"bin_24_unicycler.faa_1_137",433,427,430,416,81,6,0,12,6
"bin_24_unicycler.faa_1_138",89,211,179,102,14,4,0,6,4
"bin_24_unicycler.faa_1_139",323,316,312,267,34,8,0,12,4
"bin_24_unicycler.faa_1_14",76,62,53,49,10,0,0,6,2
"bin_24_unicycler.faa_1_140",504,758,687,453,65,4,0,23,11
"bin_24_unicycler.faa_1_141",395,640,509,429,45,6,0,23,4
"bin_24_unicycler.faa_1_142",40,49,32,32,8,0,0,4,2
"bin_24_unicycler.faa_1_143",174,230,193,188,38,2,0,22,0
"bin_24_unicycler.faa_1_144",254,302,212,238,33,6,0,18,2
"bin_24_unicycler.faa_1_145",211,162,174,223,39,0,0,11,2
"bin_24_unicycler.faa_1_146",1092,1281,1310,1025,192,15,8,31,8
"bin_24_unicycler.faa_1_147",305,352,505,337,87,4,2,3,2
"bin_24_unicycler.faa_1_148",136,136,153,161,30,2,0,20,4
"bin_24_unicycler.faa_1_149",62,94,73,89,26,4,0,6,6
"bin_24_unicycler.faa_1_15",79,43,40,44,20,2,0,2,6
"bin_24_unicycler.faa_1_150",8,4,6,6,2,0,0,0,0
"bin_24_unicycler.faa_1_151",5,4,15,0,10,0,0,0,0
"bin_24_unicycler.faa_1_152",51,64,56,52,20,2,0,2,0
"bin_24_unicycler.faa_1_153",41,31,18,14,4,2,0,2,0
"bin_24_unicycler.faa_1_154",1213,1739,1094,1279,59,4,2,36,42
"bin_24_unicycler.faa_1_155",89,93,108,70,37,18,2,1,6
"bin_24_unicycler.faa_1_156",365,545,329,405,38,4,0,21,24
"bin_24_unicycler.faa_1_157",45,104,65,66,6,0,0,4,0
"bin_24_unicycler.faa_1_158",6,7,8,4,6,0,0,0,0
"bin_24_unicycler.faa_1_159",216,147,169,144,24,0,0,6,2
"bin_24_unicycler.faa_1_16",685,1138,611,865,41,8,0,54,168
"bin_24_unicycler.faa_1_160",75,154,97,82,33,0,0,4,0
"bin_24_unicycler.faa_1_161",6,23,6,11,0,0,0,0,0
"bin_24_unicycler.faa_1_162",199,351,241,269,26,2,0,1,6
"bin_24_unicycler.faa_1_163",65,113,97,96,13,0,0,0,4
"bin_24_unicycler.faa_1_164",158,162,133,104,45,1,0,22,6
"bin_24_unicycler.faa_1_165",2945,3865,4057,2883,459,74,12,97,104
"bin_24_unicycler.faa_1_166",263,305,325,281,36,8,0,10,0
"bin_24_unicycler.faa_1_167",43,10,12,26,14,2,0,1,0
"bin_24_unicycler.faa_1_168",42,34,50,41,8,2,0,0,0
"bin_24_unicycler.faa_1_169",59,116,99,107,28,2,0,6,6
"bin_24_unicycler.faa_1_17",48,36,22,18,4,4,0,0,2
"bin_24_unicycler.faa_1_170",109,149,110,107,13,0,0,6,0
"bin_24_unicycler.faa_1_171",331,464,411,264,75,5,0,14,12
"bin_24_unicycler.faa_1_172",46,62,45,70,7,0,0,0,2
"bin_24_unicycler.faa_1_173",251,362,237,270,21,0,0,5,9
"bin_24_unicycler.faa_1_174",14,12,0,16,4,0,0,0,0
"bin_24_unicycler.faa_1_175",33,56,37,24,10,3,0,2,0
"bin_24_unicycler.faa_1_176",53,38,25,40,4,2,0,2,8
"bin_24_unicycler.faa_1_177",250,438,312,358,33,0,0,14,10
"bin_24_unicycler.faa_1_178",432,641,438,521,36,2,0,19,24
"bin_24_unicycler.faa_1_179",350,446,518,383,67,10,3,6,0
"bin_24_unicycler.faa_1_18",3,4,4,2,1,1,0,0,0
"bin_24_unicycler.faa_1_180",205,330,313,263,59,4,2,7,13
"bin_24_unicycler.faa_1_181",150,234,212,160,16,1,0,2,0
"bin_24_unicycler.faa_1_182",196,307,293,242,28,2,0,6,2
"bin_24_unicycler.faa_1_183",350,540,574,463,56,0,0,21,14
"bin_24_unicycler.faa_1_184",337,232,404,308,24,7,0,5,10
"bin_24_unicycler.faa_1_185",6,10,14,24,28,0,0,0,0
"bin_24_unicycler.faa_1_186",199,200,283,164,52,0,0,6,6
"bin_24_unicycler.faa_1_187",66,66,106,38,34,5,0,0,0
"bin_24_unicycler.faa_1_188",75,75,55,39,23,2,2,2,0
"bin_24_unicycler.faa_1_189",359,296,256,278,132,8,0,5,22
"bin_24_unicycler.faa_1_19",18,4,3,8,8,0,0,0,0
"bin_24_unicycler.faa_1_190",4658,2067,4325,2697,204,15,6,224,204
"bin_24_unicycler.faa_1_191",34,87,32,58,15,2,0,2,0
"bin_24_unicycler.faa_1_192",55,62,59,39,16,0,0,2,0
"bin_24_unicycler.faa_1_193",51,72,75,72,7,0,0,4,1
"bin_24_unicycler.faa_1_194",4,10,9,12,9,0,0,2,0
"bin_24_unicycler.faa_1_195",50,20,35,37,3,0,0,0,0
"bin_24_unicycler.faa_1_196",300,365,388,310,18,4,2,5,8
"bin_24_unicycler.faa_1_197",32,32,37,38,4,0,0,1,4
"bin_24_unicycler.faa_1_198",186,275,343,316,19,2,1,12,26
"bin_24_unicycler.faa_1_199",67,112,105,73,11,0,0,1,0
"bin_24_unicycler.faa_1_2",41,13,37,22,2,1,0,0,0
"bin_24_unicycler.faa_1_20",1,5,2,0,0,0,2,0,0
"bin_24_unicycler.faa_1_200",4,4,6,0,2,2,0,0,0
"bin_24_unicycler.faa_1_201",21,17,10,7,13,0,0,0,0
"bin_24_unicycler.faa_1_202",2,9,2,8,0,0,0,0,0
"bin_24_unicycler.faa_1_203",13,9,12,1,1,0,0,0,0
"bin_24_unicycler.faa_1_204",30,17,23,11,13,0,0,0,0
"bin_24_unicycler.faa_1_205",65,49,32,63,14,2,0,6,2
"bin_24_unicycler.faa_1_206",125,130,150,119,18,3,0,4,6
"bin_24_unicycler.faa_1_207",1245,1269,1320,1113,114,15,0,59,40
"bin_24_unicycler.faa_1_208",3788,4834,4786,3950,388,48,12,157,107
"bin_24_unicycler.faa_1_209",66,57,57,61,15,0,0,0,0
"bin_24_unicycler.faa_1_21",21,21,8,18,3,0,0,2,0
"bin_24_unicycler.faa_1_210",131,80,88,68,0,0,0,4,0
"bin_24_unicycler.faa_1_211",70,44,32,50,10,0,0,0,0
"bin_24_unicycler.faa_1_212",60,99,76,91,7,0,0,5,8
"bin_24_unicycler.faa_1_213",3374,4943,3406,3995,73,5,6,129,201
"bin_24_unicycler.faa_1_214",472,468,413,451,13,2,0,9,12
"bin_24_unicycler.faa_1_215",393,356,435,319,137,13,0,10,0
"bin_24_unicycler.faa_1_216",666,678,603,626,154,14,4,25,30
"bin_24_unicycler.faa_1_217",22,38,50,14,0,0,0,0,2
"bin_24_unicycler.faa_1_218",23,0,6,15,4,0,0,0,0
"bin_24_unicycler.faa_1_219",9,3,2,0,0,0,0,0,0
"bin_24_unicycler.faa_1_22",263,336,400,245,60,32,5,19,59
"bin_24_unicycler.faa_1_220",213,279,336,266,26,6,0,20,2
"bin_24_unicycler.faa_1_221",261,331,362,269,55,8,2,11,5
"bin_24_unicycler.faa_1_222",46,80,126,86,25,0,0,0,1
"bin_24_unicycler.faa_1_223",546,836,899,700,157,18,4,7,20
"bin_24_unicycler.faa_1_224",16,0,2,12,2,0,0,0,0
"bin_24_unicycler.faa_1_225",10,15,0,6,11,0,0,0,0
"bin_24_unicycler.faa_1_226",41,46,44,56,0,0,0,2,0
"bin_24_unicycler.faa_1_227",102,135,92,95,15,2,0,2,0
"bin_24_unicycler.faa_1_228",147,204,148,188,5,0,0,10,10
