"","Read_Count_A1","Read_Count_A2","Read_Count_A3","Read_Count_A4","Read_Count_A5","Read_Count_A6","Read_Count_A7","Read_Count_A8","Read_Count_A9"
"bin_67_operams.faa_1_1",0,0,0,0,0,0,0,0,0
"bin_67_operams.faa_1_10",7,0,0,0,0,0,0,0,0
"bin_67_operams.faa_1_11",2,0,0,0,0,0,0,0,0
"bin_67_operams.faa_1_12",6,2,0,0,0,0,0,0,0
"bin_67_operams.faa_1_13",0,0,0,0,0,0,0,0,0
"bin_67_operams.faa_1_2",0,0,0,0,0,0,0,0,0
"bin_67_operams.faa_1_3",0,0,0,0,0,0,0,0,0
"bin_67_operams.faa_1_4",0,0,0,0,0,0,0,0,0
"bin_67_operams.faa_1_5",0,0,2,0,0,0,0,0,0
"bin_67_operams.faa_1_6",3,0,3,2,0,0,0,0,2
"bin_67_operams.faa_1_7",2,0,4,6,0,4,0,0,4
"bin_67_operams.faa_1_8",14,6,12,0,0,0,0,0,4
"bin_67_operams.faa_1_9",6,1,1,0,2,0,0,0,0
"bin_67_operams.faa_10_1",0,2,0,0,0,0,0,0,0
"bin_67_operams.faa_10_2",0,0,0,0,0,0,0,0,0
"bin_67_operams.faa_10_3",4,4,0,4,2,0,0,0,0
"bin_67_operams.faa_10_4",6,6,0,2,0,0,0,0,0
"bin_67_operams.faa_10_5",0,0,0,0,0,0,0,0,0
"bin_67_operams.faa_10_6",0,3,0,0,0,0,0,0,0
"bin_67_operams.faa_10_7",4,6,0,0,0,0,0,0,0
"bin_67_operams.faa_100_1",26,14,0,8,2,0,0,2,0
"bin_67_operams.faa_100_2",20,6,0,4,0,0,0,0,0
"bin_67_operams.faa_1000_1",10,2,0,1,1,0,0,0,0
"bin_67_operams.faa_1000_2",10,10,0,23,0,0,0,0,0
"bin_67_operams.faa_1001_1",0,0,0,2,0,0,0,0,0
"bin_67_operams.faa_1001_2",0,2,2,1,0,0,0,0,0
"bin_67_operams.faa_1002_1",0,0,0,0,0,0,0,0,0
"bin_67_operams.faa_1002_2",0,0,0,0,0,0,0,0,0
"bin_67_operams.faa_1002_3",0,0,0,0,0,0,0,0,0
"bin_67_operams.faa_1003_1",0,0,0,0,0,0,0,0,0
"bin_67_operams.faa_1004_1",0,0,0,0,0,0,0,0,0
"bin_67_operams.faa_1004_2",0,0,8,0,0,0,0,0,0
"bin_67_operams.faa_1005_1",0,0,0,0,0,0,0,0,0
"bin_67_operams.faa_1005_2",0,0,0,0,0,0,0,0,0
"bin_67_operams.faa_1005_3",0,0,0,0,0,0,0,0,0
"bin_67_operams.faa_1006_1",0,2,0,0,0,0,0,0,0
"bin_67_operams.faa_1007_1",16,8,0,0,3,0,0,2,0
"bin_67_operams.faa_1007_2",2,0,0,1,0,0,0,0,0
"bin_67_operams.faa_1008_1",0,0,0,0,0,0,0,0,0
"bin_67_operams.faa_1008_2",0,2,0,0,0,0,0,0,0
"bin_67_operams.faa_1009_1",0,0,0,0,0,0,0,0,0
"bin_67_operams.faa_1009_2",0,0,0,0,0,0,0,0,0
"bin_67_operams.faa_101_1",42,19,0,10,0,0,0,0,0
"bin_67_operams.faa_101_2",20,5,0,4,2,0,0,0,0
"bin_67_operams.faa_101_3",0,0,0,0,0,0,0,0,0
"bin_67_operams.faa_1010_1",2,3,0,4,0,0,0,2,0
"bin_67_operams.faa_1010_2",0,2,0,2,0,0,0,0,0
"bin_67_operams.faa_1011_1",9,7,0,2,0,0,0,0,0
"bin_67_operams.faa_1012_1",0,0,0,0,0,0,0,0,0
"bin_67_operams.faa_1012_2",0,1,0,0,0,0,0,0,0
"bin_67_operams.faa_1013_1",0,6,0,1,0,0,0,0,0
"bin_67_operams.faa_1014_1",10,2,0,0,0,0,0,0,0
"bin_67_operams.faa_1014_2",8,5,0,4,3,0,0,0,0
"bin_67_operams.faa_1014_3",0,0,0,0,0,0,0,0,0
"bin_67_operams.faa_1015_1",0,0,2,0,0,0,0,0,0
"bin_67_operams.faa_1015_2",0,0,0,0,0,0,0,0,0
"bin_67_operams.faa_1015_3",0,0,0,0,0,0,0,0,0
"bin_67_operams.faa_1016_1",0,0,0,0,0,0,0,0,0
"bin_67_operams.faa_1016_2",0,0,0,0,0,0,0,0,0
"bin_67_operams.faa_1017_1",0,0,0,0,0,0,0,0,0
"bin_67_operams.faa_1017_2",12,15,10,10,0,0,0,2,0
"bin_67_operams.faa_1018_1",0,0,0,0,0,0,0,0,0
"bin_67_operams.faa_1019_1",13,0,0,0,0,0,0,0,0
"bin_67_operams.faa_1019_2",15,15,0,0,3,2,0,0,0
"bin_67_operams.faa_102_1",8,4,0,0,1,0,0,0,0
"bin_67_operams.faa_102_2",0,0,0,0,0,0,0,0,0
"bin_67_operams.faa_102_3",1,0,0,0,0,0,0,0,0
"bin_67_operams.faa_102_4",0,0,0,0,0,0,0,0,0
"bin_67_operams.faa_102_5",0,0,0,0,0,0,0,0,0
"bin_67_operams.faa_102_6",0,0,0,0,0,0,0,0,0
"bin_67_operams.faa_1020_1",0,0,0,0,0,0,0,0,0
"bin_67_operams.faa_1021_1",0,0,0,0,0,0,0,0,0
"bin_67_operams.faa_1022_1",0,0,0,0,0,0,0,0,0
"bin_67_operams.faa_1023_1",4,2,0,0,0,0,0,0,0
"bin_67_operams.faa_1023_2",0,0,0,0,0,0,0,0,0
"bin_67_operams.faa_1024_1",0,0,0,0,0,0,0,0,0
"bin_67_operams.faa_1024_2",0,0,0,0,0,0,0,0,0
"bin_67_operams.faa_1025_1",2,6,0,6,2,0,0,0,0
"bin_67_operams.faa_1026_1",0,4,0,0,1,0,0,0,0
"bin_67_operams.faa_1027_1",21,30,4,13,0,2,0,0,0
"bin_67_operams.faa_1027_2",6,10,0,3,0,0,0,0,0
"bin_67_operams.faa_1028_1",0,0,0,0,0,0,0,0,0
"bin_67_operams.faa_1028_2",0,0,0,0,0,0,0,0,0
"bin_67_operams.faa_1029_1",0,0,0,0,0,0,0,0,0
"bin_67_operams.faa_1029_2",0,0,0,0,0,0,0,0,0
"bin_67_operams.faa_103_1",7,6,0,0,0,0,0,0,0
"bin_67_operams.faa_103_2",12,12,0,6,0,0,0,0,0
"bin_67_operams.faa_103_3",14,7,0,2,3,0,0,0,0
"bin_67_operams.faa_103_4",5,7,0,2,0,0,0,0,0
"bin_67_operams.faa_1030_1",5,4,0,0,0,0,0,0,0
"bin_67_operams.faa_1031_1",0,0,0,0,0,0,0,0,0
"bin_67_operams.faa_1031_2",0,0,0,0,0,0,0,0,0
"bin_67_operams.faa_1032_1",2,0,0,0,0,0,0,0,0
"bin_67_operams.faa_1032_2",6,6,0,0,0,0,0,0,0
"bin_67_operams.faa_1032_3",0,0,0,0,0,0,0,0,0
"bin_67_operams.faa_1033_1",0,2,0,0,0,0,0,0,0
"bin_67_operams.faa_1034_1",0,0,0,0,0,0,0,0,0
"bin_67_operams.faa_1034_2",10,17,0,16,1,2,0,0,0
"bin_67_operams.faa_1035_1",0,0,0,0,0,0,0,0,0
"bin_67_operams.faa_1036_1",0,4,0,2,0,2,0,0,0
