"","Read_Count_A1","Read_Count_A2","Read_Count_A3","Read_Count_A4","Read_Count_A5","Read_Count_A6","Read_Count_A7","Read_Count_A8","Read_Count_A9"
"bin_31_metaspades.faa_1_1",4,3,2,0,0,0,0,4,4
"bin_31_metaspades.faa_1_10",6,4,6,4,0,14,0,9,8
"bin_31_metaspades.faa_1_100",4,24,4,18,0,16,2,16,4
"bin_31_metaspades.faa_1_101",0,4,0,24,0,4,0,0,2
"bin_31_metaspades.faa_1_102",4,17,72,0,0,25,0,6,2
"bin_31_metaspades.faa_1_103",0,4,2,0,0,5,0,1,20
"bin_31_metaspades.faa_1_104",2,8,14,4,0,12,0,16,15
"bin_31_metaspades.faa_1_105",2,10,2,0,3,4,0,10,18
"bin_31_metaspades.faa_1_106",0,7,12,8,2,5,0,7,13
"bin_31_metaspades.faa_1_107",0,3,18,0,1,3,0,3,4
"bin_31_metaspades.faa_1_108",0,4,2,8,0,6,0,2,5
"bin_31_metaspades.faa_1_109",0,10,2,0,0,5,2,6,2
"bin_31_metaspades.faa_1_11",6,18,18,11,2,36,0,25,24
"bin_31_metaspades.faa_1_110",4,26,27,12,7,67,20,22,32
"bin_31_metaspades.faa_1_111",4,35,84,33,1,43,1,22,20
"bin_31_metaspades.faa_1_112",0,26,13,30,8,55,8,22,18
"bin_31_metaspades.faa_1_113",0,14,2,4,2,16,0,0,6
"bin_31_metaspades.faa_1_12",0,6,4,4,5,9,0,15,9
"bin_31_metaspades.faa_1_13",0,0,8,5,2,4,0,5,5
"bin_31_metaspades.faa_1_14",0,10,12,4,0,20,0,8,1
"bin_31_metaspades.faa_1_15",0,0,0,1,0,8,0,0,4
"bin_31_metaspades.faa_1_16",2,7,2,0,2,4,2,5,1
"bin_31_metaspades.faa_1_17",0,0,9,0,0,3,1,0,0
"bin_31_metaspades.faa_1_18",0,16,49,28,4,58,16,26,6
"bin_31_metaspades.faa_1_19",6,6,21,1,2,11,0,5,10
"bin_31_metaspades.faa_1_2",2,18,14,4,4,10,6,11,8
"bin_31_metaspades.faa_1_20",10,19,19,8,4,18,6,6,4
"bin_31_metaspades.faa_1_21",0,2,2,10,2,12,0,5,10
"bin_31_metaspades.faa_1_22",0,1,4,0,0,8,2,0,0
"bin_31_metaspades.faa_1_23",2,20,17,13,2,15,4,15,9
"bin_31_metaspades.faa_1_24",0,7,8,2,0,2,0,4,6
"bin_31_metaspades.faa_1_25",0,3,2,4,0,6,2,0,3
"bin_31_metaspades.faa_1_26",0,0,0,0,0,4,0,0,2
"bin_31_metaspades.faa_1_27",0,2,0,4,0,4,0,0,0
"bin_31_metaspades.faa_1_28",0,12,28,8,0,16,6,18,22
"bin_31_metaspades.faa_1_29",2,0,2,4,0,5,0,6,4
"bin_31_metaspades.faa_1_3",0,2,0,0,2,0,0,8,0
"bin_31_metaspades.faa_1_30",5,0,4,12,0,0,2,2,2
"bin_31_metaspades.faa_1_31",0,10,9,2,0,12,2,16,14
"bin_31_metaspades.faa_1_32",2,22,12,26,5,36,0,11,20
"bin_31_metaspades.faa_1_33",2,8,8,0,2,16,4,14,0
"bin_31_metaspades.faa_1_34",4,12,10,12,4,23,0,11,16
"bin_31_metaspades.faa_1_35",0,11,11,12,0,33,0,9,8
"bin_31_metaspades.faa_1_36",2,20,31,25,7,26,2,30,16
"bin_31_metaspades.faa_1_37",2,7,20,14,6,41,0,9,10
"bin_31_metaspades.faa_1_38",6,12,0,12,2,12,0,6,6
"bin_31_metaspades.faa_1_39",16,24,36,13,0,56,0,22,11
"bin_31_metaspades.faa_1_4",0,4,6,4,0,2,0,2,3
