"","Read_Count_A1","Read_Count_A2","Read_Count_A3","Read_Count_A4","Read_Count_A5","Read_Count_A6","Read_Count_A7","Read_Count_A8","Read_Count_A9"
"bin_5_operams.faa_1_1",6,2,0,0,0,0,0,0,0
"bin_5_operams.faa_1_10",0,22,4,9,4,15,10,6,10
"bin_5_operams.faa_1_100",5,36,0,37,12,28,1,10,26
"bin_5_operams.faa_1_101",12,11,10,18,8,4,2,5,8
"bin_5_operams.faa_1_102",6,27,1,16,9,22,0,1,14
"bin_5_operams.faa_1_103",8,6,4,2,2,13,2,3,22
"bin_5_operams.faa_1_104",40,88,38,77,14,107,8,27,116
"bin_5_operams.faa_1_105",64,78,84,64,20,90,18,27,104
"bin_5_operams.faa_1_106",15,29,20,6,6,45,0,8,37
"bin_5_operams.faa_1_107",11,19,16,6,6,25,0,8,28
"bin_5_operams.faa_1_108",0,6,0,0,0,4,0,0,6
"bin_5_operams.faa_1_109",8,12,0,2,0,10,2,4,16
"bin_5_operams.faa_1_11",17,44,5,17,4,24,6,2,68
"bin_5_operams.faa_1_110",14,7,0,0,7,2,0,2,10
"bin_5_operams.faa_1_111",24,116,19,101,11,26,2,82,310
"bin_5_operams.faa_1_112",4,7,5,7,2,0,0,6,21
"bin_5_operams.faa_1_113",0,2,0,9,1,2,4,0,17
"bin_5_operams.faa_1_114",0,15,2,16,0,2,0,16,34
"bin_5_operams.faa_1_115",0,11,3,6,0,1,0,26,78
"bin_5_operams.faa_1_116",22,33,6,23,3,14,0,25,50
"bin_5_operams.faa_1_117",239,470,189,411,66,736,84,70,700
"bin_5_operams.faa_1_118",16,21,13,13,0,51,4,7,45
"bin_5_operams.faa_1_119",8,6,2,4,0,0,0,0,2
"bin_5_operams.faa_1_12",2,12,12,12,8,16,2,6,42
"bin_5_operams.faa_1_120",29,61,23,11,4,73,4,11,98
"bin_5_operams.faa_1_121",0,3,0,0,0,6,0,0,1
"bin_5_operams.faa_1_122",8,16,6,6,0,23,0,4,6
"bin_5_operams.faa_1_123",2,0,0,0,2,8,0,2,0
"bin_5_operams.faa_1_124",12,18,8,14,4,23,6,2,17
"bin_5_operams.faa_1_125",5,10,11,16,2,20,4,0,20
"bin_5_operams.faa_1_126",6,12,4,2,0,22,0,4,8
"bin_5_operams.faa_1_127",39,126,26,70,16,163,14,19,250
"bin_5_operams.faa_1_128",27,40,23,25,0,66,10,11,74
"bin_5_operams.faa_1_129",36,99,34,84,13,255,26,16,129
"bin_5_operams.faa_1_13",2,7,0,4,0,8,0,0,2
"bin_5_operams.faa_1_130",6,38,34,15,8,74,6,8,52
"bin_5_operams.faa_1_131",9,8,15,5,0,24,4,5,17
"bin_5_operams.faa_1_132",9,2,0,2,0,4,0,0,4
"bin_5_operams.faa_1_133",27,57,25,60,4,51,2,16,42
"bin_5_operams.faa_1_134",20,52,17,31,0,27,6,11,36
"bin_5_operams.faa_1_135",108,252,57,164,32,188,39,70,143
"bin_5_operams.faa_1_136",22,51,34,41,4,75,9,19,67
"bin_5_operams.faa_1_137",24,31,5,10,8,66,6,16,28
"bin_5_operams.faa_1_138",2,14,3,2,2,5,6,5,6
"bin_5_operams.faa_1_139",0,0,0,0,0,6,0,0,4
"bin_5_operams.faa_1_14",48,118,50,119,4,325,36,27,251
"bin_5_operams.faa_1_140",0,2,0,0,0,1,0,4,0
"bin_5_operams.faa_1_141",23,74,35,21,9,80,16,18,96
"bin_5_operams.faa_1_142",6,21,6,10,0,22,0,1,12
"bin_5_operams.faa_1_143",24,43,8,32,10,37,4,10,48
"bin_5_operams.faa_1_144",59,108,53,58,11,244,19,24,181
"bin_5_operams.faa_1_145",14,18,6,2,7,32,0,11,40
"bin_5_operams.faa_1_146",0,4,0,9,4,29,2,2,26
"bin_5_operams.faa_1_147",8,44,13,24,12,28,5,9,69
"bin_5_operams.faa_1_148",8,16,13,6,4,32,4,2,19
"bin_5_operams.faa_1_149",8,37,10,8,4,30,2,11,30
"bin_5_operams.faa_1_15",3,21,7,21,2,37,10,7,9
"bin_5_operams.faa_1_150",24,47,28,59,11,177,8,14,116
"bin_5_operams.faa_1_151",7,19,8,10,2,45,12,2,20
"bin_5_operams.faa_1_152",8,4,0,30,2,17,2,9,19
"bin_5_operams.faa_1_153",0,4,0,2,1,6,4,0,8
"bin_5_operams.faa_1_154",6,8,0,0,2,27,3,8,22
"bin_5_operams.faa_1_155",19,9,0,3,3,30,7,2,21
"bin_5_operams.faa_1_156",14,52,27,48,4,109,8,13,110
"bin_5_operams.faa_1_157",17,31,16,15,6,53,4,6,56
"bin_5_operams.faa_1_158",6,10,4,28,3,39,2,6,64
"bin_5_operams.faa_1_159",1,6,2,2,4,18,0,0,23
"bin_5_operams.faa_1_16",4,11,9,18,2,33,0,12,24
"bin_5_operams.faa_1_160",0,3,2,0,0,2,0,2,5
"bin_5_operams.faa_1_161",4,9,2,6,2,20,0,0,16
"bin_5_operams.faa_1_162",0,3,0,2,2,9,0,1,3
"bin_5_operams.faa_1_163",6,2,2,0,2,14,2,0,12
"bin_5_operams.faa_1_164",8,14,6,6,2,14,2,0,41
"bin_5_operams.faa_1_165",4,4,2,6,4,9,2,0,15
"bin_5_operams.faa_1_166",11,23,14,27,0,69,10,6,125
"bin_5_operams.faa_1_167",177,389,196,235,32,1282,130,53,263
"bin_5_operams.faa_1_168",22,39,29,23,0,132,0,11,37
"bin_5_operams.faa_1_169",14,15,11,12,3,48,7,10,30
"bin_5_operams.faa_1_17",4,10,12,12,8,41,4,1,16
"bin_5_operams.faa_1_170",34,41,15,26,8,112,16,24,72
"bin_5_operams.faa_1_171",0,8,0,0,0,2,10,7,0
"bin_5_operams.faa_1_172",21,12,2,20,6,29,0,6,24
"bin_5_operams.faa_1_173",4,2,0,0,0,9,2,0,4
"bin_5_operams.faa_1_174",7,44,6,11,4,48,2,10,24
"bin_5_operams.faa_1_175",15,38,10,29,6,56,4,4,26
"bin_5_operams.faa_1_176",2,2,0,0,0,2,0,0,2
"bin_5_operams.faa_1_177",0,5,0,0,0,0,0,4,6
"bin_5_operams.faa_1_178",22,73,26,56,9,165,16,27,77
"bin_5_operams.faa_1_179",6,20,5,8,4,42,8,10,10
"bin_5_operams.faa_1_18",12,14,26,24,0,33,7,2,64
"bin_5_operams.faa_1_180",2,4,2,4,1,1,0,2,18
"bin_5_operams.faa_1_181",2,0,4,1,0,10,0,0,4
"bin_5_operams.faa_1_182",62,107,70,82,15,69,21,54,32
"bin_5_operams.faa_1_183",14,33,7,32,0,17,2,12,9
"bin_5_operams.faa_1_184",0,7,1,5,0,19,3,0,18
"bin_5_operams.faa_1_19",15,22,21,4,2,52,3,4,26
"bin_5_operams.faa_1_2",21,103,46,41,15,111,22,27,95
"bin_5_operams.faa_1_20",2,0,0,2,0,4,0,0,15
"bin_5_operams.faa_1_21",0,6,0,1,0,6,3,2,22
"bin_5_operams.faa_1_22",0,2,0,0,0,8,8,0,8
"bin_5_operams.faa_1_23",0,4,0,6,0,12,2,0,16
"bin_5_operams.faa_1_24",4,27,6,14,0,25,2,3,22
"bin_5_operams.faa_1_25",14,47,11,48,16,8,2,8,40
"bin_5_operams.faa_1_26",0,0,4,0,0,0,0,0,2
"bin_5_operams.faa_1_27",0,0,0,0,0,0,0,2,2
"bin_5_operams.faa_1_28",0,7,15,0,0,9,0,2,2
"bin_5_operams.faa_1_29",8,29,12,20,2,39,6,4,14
"bin_5_operams.faa_1_3",29,55,29,35,8,124,6,14,104
"bin_5_operams.faa_1_30",1,10,4,9,1,17,3,0,12
"bin_5_operams.faa_1_31",88,191,88,111,16,524,44,68,277
"bin_5_operams.faa_1_32",0,0,0,0,0,0,0,0,0
"bin_5_operams.faa_1_33",10,1,0,0,0,1,0,2,0
"bin_5_operams.faa_1_34",1,0,0,0,0,0,0,0,0
"bin_5_operams.faa_1_35",4,4,6,7,3,4,0,0,9
"bin_5_operams.faa_1_36",11,10,3,1,0,8,0,2,21
"bin_5_operams.faa_1_37",8,21,0,21,4,15,8,10,41
"bin_5_operams.faa_1_38",50,105,29,54,13,104,12,22,157
"bin_5_operams.faa_1_39",14,35,18,22,2,44,0,17,49
"bin_5_operams.faa_1_4",111,169,103,122,17,303,41,43,318
"bin_5_operams.faa_1_40",2,12,12,14,10,11,2,6,23
"bin_5_operams.faa_1_41",20,20,16,23,3,40,10,7,86
"bin_5_operams.faa_1_42",16,31,25,14,3,64,6,14,38
"bin_5_operams.faa_1_43",4,2,2,0,0,2,0,2,24
"bin_5_operams.faa_1_44",0,2,2,0,0,6,0,0,5
"bin_5_operams.faa_1_45",6,12,0,0,0,20,0,0,22
"bin_5_operams.faa_1_46",2,6,0,0,0,2,0,0,6
