"","Read_Count_A1","Read_Count_A2","Read_Count_A3","Read_Count_A4","Read_Count_A5","Read_Count_A6","Read_Count_A7","Read_Count_A8","Read_Count_A9"
"bin_64_operams.faa_1_1",0,0,0,0,0,0,0,0,0
"bin_64_operams.faa_1_10",276,187,163,193,20,8,2,15,12
"bin_64_operams.faa_1_100",9,3,2,1,1,0,0,0,0
"bin_64_operams.faa_1_101",301,153,146,166,34,6,2,14,4
"bin_64_operams.faa_1_102",343,207,180,244,29,10,2,36,14
"bin_64_operams.faa_1_103",465,346,425,414,22,13,4,18,14
"bin_64_operams.faa_1_104",2871,2731,2212,2344,226,74,8,119,44
"bin_64_operams.faa_1_105",1610,1363,1318,1010,110,49,6,58,32
"bin_64_operams.faa_1_106",2899,1794,1815,1567,294,77,12,159,64
"bin_64_operams.faa_1_107",1640,1159,1047,973,204,54,4,78,38
"bin_64_operams.faa_1_108",142,56,42,52,16,2,4,11,0
"bin_64_operams.faa_1_109",2975,2031,1717,1706,175,75,14,127,55
"bin_64_operams.faa_1_11",164,96,123,143,15,12,4,11,17
"bin_64_operams.faa_1_110",3667,2610,2232,2225,308,101,32,158,72
"bin_64_operams.faa_1_111",1400,935,910,916,79,39,11,54,45
"bin_64_operams.faa_1_112",477,465,243,273,43,18,8,19,18
"bin_64_operams.faa_1_113",504,351,296,302,60,30,2,12,4
"bin_64_operams.faa_1_114",190,101,99,96,17,4,0,6,4
"bin_64_operams.faa_1_115",972,671,622,586,84,26,0,52,35
"bin_64_operams.faa_1_116",967,559,525,595,62,17,4,34,8
"bin_64_operams.faa_1_117",4387,3620,2879,3173,287,149,0,191,115
"bin_64_operams.faa_1_118",15960,11911,11414,10919,920,415,47,623,353
"bin_64_operams.faa_1_119",398,213,210,221,21,6,2,8,4
"bin_64_operams.faa_1_12",357,247,152,236,28,0,0,15,4
"bin_64_operams.faa_1_120",3901,3413,2926,2940,249,104,4,201,131
"bin_64_operams.faa_1_121",2435,2111,1757,1954,148,47,6,90,95
"bin_64_operams.faa_1_122",1477,1021,1023,907,76,29,6,61,36
"bin_64_operams.faa_1_123",562,446,391,359,75,32,2,27,30
"bin_64_operams.faa_1_124",18253,7829,11822,7302,920,467,44,639,478
"bin_64_operams.faa_1_125",927,567,543,558,68,13,8,27,32
"bin_64_operams.faa_1_126",394,220,130,178,43,11,0,18,0
"bin_64_operams.faa_1_127",3184,2729,2221,2205,272,90,22,169,56
"bin_64_operams.faa_1_128",1458,827,888,589,115,44,10,55,42
"bin_64_operams.faa_1_129",1624,1156,994,692,125,37,0,68,11
"bin_64_operams.faa_1_13",383,416,255,282,26,6,3,19,4
"bin_64_operams.faa_1_130",5431,4191,3527,3522,376,127,18,197,137
"bin_64_operams.faa_1_131",335,254,189,280,33,0,0,20,2
"bin_64_operams.faa_1_132",1024,609,634,609,100,23,14,35,36
"bin_64_operams.faa_1_133",1002,689,577,805,113,35,0,39,26
"bin_64_operams.faa_1_134",2932,2830,2012,2436,253,67,14,196,68
"bin_64_operams.faa_1_135",1706,1417,827,1050,140,32,6,78,62
"bin_64_operams.faa_1_136",627,343,158,180,66,9,3,46,11
"bin_64_operams.faa_1_137",2109,1803,1329,1496,166,52,13,84,48
"bin_64_operams.faa_1_138",60,37,46,58,4,0,0,3,2
"bin_64_operams.faa_1_139",3015,2203,1564,1661,397,122,28,273,115
"bin_64_operams.faa_1_14",762,764,461,602,32,23,2,30,20
"bin_64_operams.faa_1_140",3138,2245,1787,1764,236,101,14,131,86
"bin_64_operams.faa_1_141",1464,1054,1058,901,112,52,14,80,31
"bin_64_operams.faa_1_142",1536,1285,935,1371,130,37,0,73,53
"bin_64_operams.faa_1_143",180,65,163,65,17,12,2,5,0
"bin_64_operams.faa_1_15",4480,4790,2777,3899,371,123,24,187,126
"bin_64_operams.faa_1_16",3505,3415,2692,2700,297,97,8,192,138
"bin_64_operams.faa_1_17",1551,1099,805,959,113,32,2,52,57
"bin_64_operams.faa_1_18",280,252,183,230,39,3,0,16,6
"bin_64_operams.faa_1_19",2047,1452,1341,1076,119,28,16,67,20
"bin_64_operams.faa_1_2",2912,2632,2426,1833,166,85,12,124,43
"bin_64_operams.faa_1_20",429,321,180,329,39,5,0,25,4
"bin_64_operams.faa_1_21",258,105,60,107,47,2,2,14,10
"bin_64_operams.faa_1_22",6891,5707,4798,4537,442,179,39,368,173
"bin_64_operams.faa_1_23",6478,5076,4394,4501,434,217,52,311,344
"bin_64_operams.faa_1_24",2627,1972,987,1701,158,24,4,153,27
"bin_64_operams.faa_1_25",2422,2646,882,2108,144,27,6,182,55
"bin_64_operams.faa_1_26",8731,5219,3946,4542,974,194,52,624,228
"bin_64_operams.faa_1_27",9429,6050,4033,5649,798,161,50,650,352
"bin_64_operams.faa_1_28",24681,22302,11114,16939,1829,469,93,1571,705
"bin_64_operams.faa_1_29",2452,2031,1547,1637,220,60,16,108,28
"bin_64_operams.faa_1_3",674,470,488,483,51,29,6,32,10
"bin_64_operams.faa_1_30",1639,1006,922,821,118,45,14,61,43
"bin_64_operams.faa_1_31",6147,4516,4147,4261,335,154,16,254,157
"bin_64_operams.faa_1_32",5473,2546,3723,2267,307,107,12,237,81
"bin_64_operams.faa_1_33",184,96,116,84,20,5,0,2,2
"bin_64_operams.faa_1_34",2741,2011,1814,1791,205,62,6,100,34
"bin_64_operams.faa_1_35",862,578,480,541,94,20,0,48,17
"bin_64_operams.faa_1_36",802,401,265,376,85,14,0,22,22
"bin_64_operams.faa_1_37",372,233,195,270,45,14,0,17,10
"bin_64_operams.faa_1_38",592,545,408,578,63,16,3,31,18
"bin_64_operams.faa_1_39",7933,7527,4755,6368,593,161,49,397,218
"bin_64_operams.faa_1_4",1083,650,502,494,77,19,4,67,30
"bin_64_operams.faa_1_40",16028,12008,9405,9973,931,288,63,618,330
"bin_64_operams.faa_1_41",8249,7492,5892,6090,545,194,30,388,113
"bin_64_operams.faa_1_42",1392,786,769,868,70,34,8,58,35
"bin_64_operams.faa_1_43",1106,810,775,813,97,21,4,42,8
"bin_64_operams.faa_1_44",496,368,287,259,37,4,0,42,4
"bin_64_operams.faa_1_45",428,261,209,189,57,3,10,19,2
"bin_64_operams.faa_1_46",560,407,268,347,39,9,0,32,22
"bin_64_operams.faa_1_47",401,277,242,241,39,10,1,22,12
"bin_64_operams.faa_1_48",4625,3344,2638,2707,299,67,11,167,94
"bin_64_operams.faa_1_49",1210,955,644,804,104,29,2,59,24
"bin_64_operams.faa_1_5",3332,2526,2200,2376,149,38,10,101,77
"bin_64_operams.faa_1_50",11366,11592,9409,9035,1140,359,52,550,171
"bin_64_operams.faa_1_51",1696,1050,1054,1086,157,17,10,48,31
"bin_64_operams.faa_1_52",2200,1719,1549,1664,181,46,10,140,77
"bin_64_operams.faa_1_53",5293,3459,2944,3234,495,139,12,243,70
"bin_64_operams.faa_1_54",962,408,367,492,97,15,14,59,12
"bin_64_operams.faa_1_55",1099,719,810,636,109,27,0,65,48
"bin_64_operams.faa_1_56",2523,2016,1657,1839,224,84,21,111,68
"bin_64_operams.faa_1_57",211,146,114,120,19,10,0,8,7
"bin_64_operams.faa_1_58",4942,2057,1928,1788,276,110,8,187,58
"bin_64_operams.faa_1_59",1535,975,779,949,174,32,6,67,29
"bin_64_operams.faa_1_6",1955,1380,1119,905,113,32,0,73,7
"bin_64_operams.faa_1_60",8206,3279,3434,4053,541,108,42,294,213
"bin_64_operams.faa_1_61",1406,975,944,969,131,29,2,55,33
"bin_64_operams.faa_1_62",352,244,205,185,43,6,7,7,13
"bin_64_operams.faa_1_63",646,327,330,408,127,12,0,14,9
"bin_64_operams.faa_1_64",116,36,49,65,39,6,0,6,4
"bin_64_operams.faa_1_65",23258,19250,17826,16676,1680,570,86,1014,583
"bin_64_operams.faa_1_66",1821,1557,1311,1547,155,55,8,93,51
"bin_64_operams.faa_1_67",1122,977,872,903,121,20,8,52,27
"bin_64_operams.faa_1_68",1133,926,822,939,97,16,2,63,28
"bin_64_operams.faa_1_69",775,540,517,563,59,9,0,26,33
"bin_64_operams.faa_1_7",9351,5245,5688,5100,444,199,10,375,172
"bin_64_operams.faa_1_70",1492,1341,1145,1238,104,43,4,61,69
"bin_64_operams.faa_1_71",2235,1814,1769,1714,135,41,12,86,56
"bin_64_operams.faa_1_72",6203,3880,3873,3629,400,141,25,230,133
"bin_64_operams.faa_1_73",46825,36711,30466,33990,2850,1012,192,1487,1036
"bin_64_operams.faa_1_74",5271,4079,3848,3580,337,149,10,248,87
"bin_64_operams.faa_1_75",1352,868,1026,863,96,25,14,71,12
"bin_64_operams.faa_1_76",122,75,85,69,15,1,0,7,2
"bin_64_operams.faa_1_77",591,489,400,374,72,25,0,25,14
"bin_64_operams.faa_1_78",398,247,274,247,46,15,0,17,6
"bin_64_operams.faa_1_79",856,497,532,412,85,18,2,28,6
"bin_64_operams.faa_1_8",6414,4422,4249,4406,501,160,45,316,230
"bin_64_operams.faa_1_80",402,232,176,154,40,0,1,30,6
"bin_64_operams.faa_1_81",1513,1322,1186,1089,97,38,5,54,20
"bin_64_operams.faa_1_82",149,166,104,96,11,2,0,3,2
"bin_64_operams.faa_1_83",4353,4002,3131,3443,286,91,4,153,91
"bin_64_operams.faa_1_84",2844,2358,2046,2247,173,66,6,112,46
"bin_64_operams.faa_1_85",2036,1617,1387,1306,169,67,4,125,57
"bin_64_operams.faa_1_86",1502,981,1038,835,128,32,6,93,32
"bin_64_operams.faa_1_87",1902,1458,1391,1222,156,44,17,112,44
"bin_64_operams.faa_1_88",367,273,216,267,44,18,4,15,12
"bin_64_operams.faa_1_89",744,552,514,491,64,36,4,31,16
"bin_64_operams.faa_1_9",46,17,29,32,19,2,0,0,0
"bin_64_operams.faa_1_90",5726,5995,5980,4764,589,199,30,238,151
"bin_64_operams.faa_1_91",310,197,358,158,51,28,3,15,0
"bin_64_operams.faa_1_92",289,156,257,161,52,8,2,4,0
"bin_64_operams.faa_1_93",629,498,522,405,65,23,0,37,25
"bin_64_operams.faa_1_94",5783,6750,6543,4282,592,374,34,316,198
