"","Read_Count_A1","Read_Count_A2","Read_Count_A3","Read_Count_A4","Read_Count_A5","Read_Count_A6","Read_Count_A7","Read_Count_A8","Read_Count_A9"
"bin_51_operams.faa_1_1",0,0,0,0,0,0,0,0,0
"bin_51_operams.faa_1_10",0,0,0,0,0,0,0,3,2
"bin_51_operams.faa_1_100",0,0,0,0,0,0,0,2,6
"bin_51_operams.faa_1_101",0,0,0,0,0,0,0,0,0
"bin_51_operams.faa_1_102",0,0,0,0,0,0,0,0,0
"bin_51_operams.faa_1_103",0,0,0,0,0,0,0,0,0
"bin_51_operams.faa_1_104",0,0,0,0,0,0,0,0,0
"bin_51_operams.faa_1_105",0,0,0,0,0,0,0,0,6
"bin_51_operams.faa_1_106",0,0,0,0,0,6,0,0,0
"bin_51_operams.faa_1_107",0,0,0,0,0,0,0,0,0
"bin_51_operams.faa_1_108",0,0,0,0,0,2,0,0,0
"bin_51_operams.faa_1_109",0,0,0,0,0,0,0,0,2
"bin_51_operams.faa_1_11",0,0,0,0,0,6,0,0,4
"bin_51_operams.faa_1_110",0,0,0,0,0,0,0,0,0
"bin_51_operams.faa_1_111",0,0,0,0,0,0,0,0,0
"bin_51_operams.faa_1_112",0,0,0,0,0,2,0,0,0
"bin_51_operams.faa_1_113",0,2,0,4,0,6,0,4,4
"bin_51_operams.faa_1_114",0,0,0,0,0,7,2,2,14
"bin_51_operams.faa_1_115",0,0,0,0,0,12,1,3,6
"bin_51_operams.faa_1_116",0,0,0,0,0,8,0,9,6
"bin_51_operams.faa_1_117",0,2,0,0,0,0,0,0,0
"bin_51_operams.faa_1_118",0,0,0,0,0,1,0,0,0
"bin_51_operams.faa_1_119",0,0,0,0,0,0,0,0,0
"bin_51_operams.faa_1_12",0,0,0,0,0,2,0,0,2
"bin_51_operams.faa_1_120",0,2,0,0,0,6,0,0,6
"bin_51_operams.faa_1_121",0,0,0,0,0,2,0,0,0
"bin_51_operams.faa_1_122",0,0,0,0,0,2,0,0,1
"bin_51_operams.faa_1_123",0,0,0,0,0,2,0,0,0
"bin_51_operams.faa_1_124",0,0,0,0,0,0,0,1,0
"bin_51_operams.faa_1_125",0,0,0,0,0,2,4,0,6
"bin_51_operams.faa_1_126",0,0,0,0,0,0,0,2,6
"bin_51_operams.faa_1_127",0,0,0,0,0,2,0,0,12
"bin_51_operams.faa_1_128",0,0,0,0,0,0,0,0,2
"bin_51_operams.faa_1_129",0,0,0,0,0,0,0,0,0
"bin_51_operams.faa_1_13",4,0,0,0,0,0,0,0,0
"bin_51_operams.faa_1_130",0,0,0,0,0,0,0,0,0
"bin_51_operams.faa_1_131",0,0,0,0,0,0,0,0,0
"bin_51_operams.faa_1_132",0,0,0,0,0,4,0,0,4
"bin_51_operams.faa_1_133",0,0,0,0,0,2,0,1,2
"bin_51_operams.faa_1_134",0,0,0,0,0,4,0,0,0
"bin_51_operams.faa_1_135",0,0,0,0,0,0,0,0,0
"bin_51_operams.faa_1_136",0,0,0,0,0,0,0,2,8
"bin_51_operams.faa_1_137",0,0,4,0,0,2,4,2,8
"bin_51_operams.faa_1_138",0,0,0,0,0,0,0,2,0
"bin_51_operams.faa_1_139",0,0,0,0,0,0,0,0,0
"bin_51_operams.faa_1_14",0,0,0,0,0,0,0,0,0
"bin_51_operams.faa_1_140",0,0,0,0,0,5,0,0,0
"bin_51_operams.faa_1_141",0,0,0,0,0,4,0,2,0
"bin_51_operams.faa_1_142",0,0,0,0,0,2,0,0,2
"bin_51_operams.faa_1_143",0,2,0,0,0,6,0,0,0
"bin_51_operams.faa_1_144",0,1,0,0,0,0,0,2,6
"bin_51_operams.faa_1_145",0,0,0,0,0,2,0,0,2
"bin_51_operams.faa_1_146",0,0,0,0,0,0,0,0,0
"bin_51_operams.faa_1_147",0,0,0,0,0,0,0,2,0
"bin_51_operams.faa_1_148",0,0,0,0,0,0,0,0,0
"bin_51_operams.faa_1_149",0,0,0,0,0,6,0,0,2
"bin_51_operams.faa_1_15",0,0,0,0,0,0,0,0,0
"bin_51_operams.faa_1_150",0,0,0,0,1,6,0,8,43
"bin_51_operams.faa_1_151",0,2,0,0,0,0,0,0,0
"bin_51_operams.faa_1_152",0,0,0,0,0,0,0,0,2
"bin_51_operams.faa_1_153",0,0,0,0,0,0,0,0,0
"bin_51_operams.faa_1_154",0,0,0,0,0,0,0,0,0
"bin_51_operams.faa_1_155",0,0,0,2,0,2,0,0,3
"bin_51_operams.faa_1_156",0,0,0,0,0,4,0,0,2
"bin_51_operams.faa_1_157",0,0,0,0,0,0,0,0,0
"bin_51_operams.faa_1_158",0,0,0,0,0,0,0,0,0
"bin_51_operams.faa_1_159",0,0,0,0,0,6,0,0,2
"bin_51_operams.faa_1_16",0,0,0,0,0,0,0,0,2
"bin_51_operams.faa_1_160",0,0,0,0,0,0,0,0,0
"bin_51_operams.faa_1_161",0,0,0,0,0,0,0,0,0
"bin_51_operams.faa_1_162",0,0,0,0,0,0,0,0,0
"bin_51_operams.faa_1_163",0,0,0,0,0,0,0,0,0
"bin_51_operams.faa_1_164",5,1,0,0,0,0,1,2,4
"bin_51_operams.faa_1_165",0,0,0,0,0,0,0,0,0
"bin_51_operams.faa_1_166",0,0,0,0,0,14,0,2,14
"bin_51_operams.faa_1_167",0,2,0,0,2,2,2,1,10
"bin_51_operams.faa_1_168",0,0,0,0,0,6,0,0,14
"bin_51_operams.faa_1_169",0,2,0,0,0,8,0,4,0
"bin_51_operams.faa_1_17",0,0,0,0,0,0,0,0,1
"bin_51_operams.faa_1_170",0,0,0,0,0,2,0,0,0
"bin_51_operams.faa_1_171",0,0,0,0,0,8,2,0,12
"bin_51_operams.faa_1_172",0,0,0,0,0,5,0,2,2
"bin_51_operams.faa_1_173",0,0,0,0,0,0,0,0,4
"bin_51_operams.faa_1_174",0,0,0,0,0,0,1,0,10
"bin_51_operams.faa_1_175",0,0,0,0,0,8,0,0,0
"bin_51_operams.faa_1_176",0,0,0,0,0,0,0,0,4
"bin_51_operams.faa_1_177",0,2,0,0,0,4,0,0,6
"bin_51_operams.faa_1_178",0,0,0,0,0,0,0,0,2
"bin_51_operams.faa_1_179",0,0,0,0,0,0,0,0,0
"bin_51_operams.faa_1_18",0,0,0,0,0,0,0,0,3
"bin_51_operams.faa_1_180",2,2,0,0,0,4,0,2,0
