"","Read_Count_A1","Read_Count_A2","Read_Count_A3","Read_Count_A4","Read_Count_A5","Read_Count_A6","Read_Count_A7","Read_Count_A8","Read_Count_A9"
"bin_35_metaspades.faa_1_1",0,0,4,4,2,21,0,2,21
"bin_35_metaspades.faa_1_10",0,5,2,0,1,84,8,26,66
"bin_35_metaspades.faa_1_100",0,0,0,0,0,44,4,23,45
"bin_35_metaspades.faa_1_101",0,2,2,0,1,44,1,21,66
"bin_35_metaspades.faa_1_102",0,2,0,0,0,26,2,18,38
"bin_35_metaspades.faa_1_103",0,11,2,10,0,288,37,77,211
"bin_35_metaspades.faa_1_104",0,0,0,6,0,44,15,12,67
"bin_35_metaspades.faa_1_105",0,0,0,2,0,56,2,11,57
"bin_35_metaspades.faa_1_106",0,0,1,6,0,41,8,4,43
"bin_35_metaspades.faa_1_107",0,2,0,6,0,62,11,16,76
"bin_35_metaspades.faa_1_108",0,1,0,4,0,11,4,10,22
"bin_35_metaspades.faa_1_109",0,0,0,0,0,22,1,4,45
"bin_35_metaspades.faa_1_11",0,4,0,6,0,30,4,7,43
"bin_35_metaspades.faa_1_110",0,0,0,0,0,1,2,2,1
"bin_35_metaspades.faa_1_111",0,0,0,0,0,6,5,2,4
"bin_35_metaspades.faa_1_112",0,4,10,18,8,419,72,163,717
"bin_35_metaspades.faa_1_113",0,0,0,6,2,34,11,2,32
"bin_35_metaspades.faa_1_114",0,3,0,0,0,126,10,31,167
"bin_35_metaspades.faa_1_115",0,4,4,8,0,276,33,76,348
"bin_35_metaspades.faa_1_116",0,18,2,12,0,218,31,74,175
"bin_35_metaspades.faa_1_117",0,0,0,0,0,80,27,41,120
"bin_35_metaspades.faa_1_118",0,17,4,4,0,152,32,55,187
"bin_35_metaspades.faa_1_119",0,5,0,6,2,114,28,22,99
"bin_35_metaspades.faa_1_12",0,0,0,0,0,1,0,0,0
"bin_35_metaspades.faa_1_120",0,24,8,1,2,419,51,97,294
"bin_35_metaspades.faa_1_121",0,11,4,14,8,394,64,95,264
"bin_35_metaspades.faa_1_122",0,4,0,15,1,188,45,65,278
"bin_35_metaspades.faa_1_123",0,12,8,21,4,384,115,98,417
"bin_35_metaspades.faa_1_124",0,6,2,0,2,109,16,18,104
"bin_35_metaspades.faa_1_125",0,8,8,4,2,85,26,17,71
"bin_35_metaspades.faa_1_126",0,6,2,3,0,156,24,34,257
"bin_35_metaspades.faa_1_127",0,0,1,0,0,15,2,6,39
"bin_35_metaspades.faa_1_128",0,22,5,9,4,111,27,48,125
"bin_35_metaspades.faa_1_129",0,27,0,26,7,330,47,86,273
"bin_35_metaspades.faa_1_13",27,22,17,13,3,21,2,4,35
"bin_35_metaspades.faa_1_130",0,24,8,11,6,247,30,79,171
"bin_35_metaspades.faa_1_131",0,0,0,15,2,75,17,16,41
"bin_35_metaspades.faa_1_132",0,53,4,27,7,546,94,181,533
"bin_35_metaspades.faa_1_133",0,0,0,0,0,21,11,20,35
"bin_35_metaspades.faa_1_134",0,11,4,10,0,199,33,75,165
"bin_35_metaspades.faa_1_135",0,8,8,2,2,147,30,42,193
"bin_35_metaspades.faa_1_136",0,12,5,3,2,194,32,66,106
"bin_35_metaspades.faa_1_137",0,28,8,18,6,351,39,90,260
"bin_35_metaspades.faa_1_138",0,25,4,25,2,468,81,146,383
"bin_35_metaspades.faa_1_139",0,9,1,10,4,216,34,72,194
"bin_35_metaspades.faa_1_14",0,2,0,0,2,24,0,17,20
"bin_35_metaspades.faa_1_140",0,2,0,0,1,16,15,16,56
"bin_35_metaspades.faa_1_141",0,8,6,2,0,74,13,11,43
"bin_35_metaspades.faa_1_142",0,0,0,0,0,7,0,2,5
"bin_35_metaspades.faa_1_143",0,0,0,0,0,25,0,2,26
"bin_35_metaspades.faa_1_144",0,8,0,0,4,94,23,27,79
"bin_35_metaspades.faa_1_145",0,20,4,4,4,209,42,78,267
"bin_35_metaspades.faa_1_146",0,8,4,2,2,67,21,30,85
"bin_35_metaspades.faa_1_147",0,0,2,2,0,83,6,43,60
"bin_35_metaspades.faa_1_148",0,3,0,2,0,41,10,19,25
"bin_35_metaspades.faa_1_149",0,23,0,4,4,194,24,63,185
"bin_35_metaspades.faa_1_15",0,2,0,1,4,52,4,34,61
"bin_35_metaspades.faa_1_150",0,16,0,18,4,227,62,128,316
"bin_35_metaspades.faa_1_151",0,13,6,5,8,267,33,120,386
"bin_35_metaspades.faa_1_152",0,4,0,14,0,108,18,21,140
"bin_35_metaspades.faa_1_153",0,3,0,8,1,95,18,48,63
"bin_35_metaspades.faa_1_154",0,24,2,20,4,112,34,24,84
"bin_35_metaspades.faa_1_155",3,24,4,10,4,207,46,70,137
"bin_35_metaspades.faa_1_156",0,2,3,0,0,30,4,13,15
"bin_35_metaspades.faa_1_157",0,4,7,4,0,98,14,15,32
"bin_35_metaspades.faa_1_158",0,11,5,8,3,244,34,53,230
"bin_35_metaspades.faa_1_159",0,33,0,16,5,492,86,105,486
"bin_35_metaspades.faa_1_16",0,9,0,8,14,90,8,37,149
"bin_35_metaspades.faa_1_160",0,0,0,0,0,28,6,3,20
"bin_35_metaspades.faa_1_161",0,4,0,6,3,74,8,14,28
"bin_35_metaspades.faa_1_162",0,8,0,9,0,110,8,34,76
"bin_35_metaspades.faa_1_163",0,0,0,0,0,1,0,0,0
"bin_35_metaspades.faa_1_164",353,245,156,189,43,124,19,41,79
"bin_35_metaspades.faa_1_165",1154,851,580,589,71,167,10,69,65
"bin_35_metaspades.faa_1_166",21,6,12,15,2,53,4,8,29
"bin_35_metaspades.faa_1_167",149,150,56,104,14,252,45,64,243
"bin_35_metaspades.faa_1_168",0,3,4,0,2,2,0,2,22
"bin_35_metaspades.faa_1_169",7,25,4,0,0,16,0,0,7
"bin_35_metaspades.faa_1_17",0,6,4,3,6,69,5,41,94
"bin_35_metaspades.faa_1_170",32,47,13,30,6,54,16,7,33
"bin_35_metaspades.faa_1_171",21,8,12,3,3,12,4,8,20
"bin_35_metaspades.faa_1_172",0,2,2,0,0,3,2,3,5
"bin_35_metaspades.faa_1_173",0,1,7,0,0,0,0,2,1
"bin_35_metaspades.faa_1_174",2,0,0,0,0,2,0,0,0
"bin_35_metaspades.faa_1_175",0,0,5,0,0,2,0,0,4
"bin_35_metaspades.faa_1_176",0,1,0,0,0,2,0,3,2
"bin_35_metaspades.faa_1_177",6,6,0,7,0,0,0,1,2
"bin_35_metaspades.faa_1_178",14,12,6,4,3,2,0,2,4
"bin_35_metaspades.faa_1_179",2,4,1,0,0,0,0,0,6
"bin_35_metaspades.faa_1_18",0,37,6,18,25,307,59,72,253
"bin_35_metaspades.faa_1_180",12,8,3,3,2,8,0,3,6
"bin_35_metaspades.faa_1_181",0,0,0,1,0,4,0,2,12
"bin_35_metaspades.faa_1_182",0,0,0,0,0,2,0,0,0
"bin_35_metaspades.faa_1_183",2,3,3,0,2,8,0,3,0
"bin_35_metaspades.faa_1_184",3,12,7,5,0,0,0,0,2
"bin_35_metaspades.faa_1_185",0,85,5,37,20,1532,174,216,1215
"bin_35_metaspades.faa_1_186",0,18,4,19,2,377,25,32,209
"bin_35_metaspades.faa_1_187",0,10,0,14,0,268,81,73,373
"bin_35_metaspades.faa_1_188",0,11,0,14,2,150,29,56,248
"bin_35_metaspades.faa_1_189",0,0,0,0,2,72,13,22,118
