,0
0,2.778070194816189
1,3.8739292922910793
2,7.100569271321543
3,1.1526057914958694
4,3.1730385354948836
5,9.168685217552888
6,4.234059431792007
7,5.7392611898804375
8,16.353829618797214
9,2.6761623898410565
10,1.3722485374810427
11,11.179481373723902
12,1.6743061368423864
13,15.179356616421215
14,1.097229892207778
15,3.0329634797305456
16,4.296881939311035
17,16.48663059384855
18,2.1684104284901964
19,4.732173555245977
20,3.1394931181692587
21,24.009307083235264
22,1.1193568705836008
23,1.3906535939280007
24,1.3895757814391985
25,7.6594067596082365
26,3.957633043570988
27,1.1038567049579973
28,11.821788330466221
29,2.965929875773848
30,5.51825993670382
31,16.381290114949483
32,1.1520070605637207
33,1.5545800320605798
34,4.669850418531372
35,1.310686855031972
36,1.5757361521325255
37,1.3152895574178227
38,19.985087760311924
39,2.3724440449322777
40,1.5074297883359158
41,1.1049779127996109
42,10.170068429190083
43,6.295995183825685
44,1.3578036983299102
45,11.956201471178876
46,2.340100942392305
47,2.8010103513541065
48,2.1726657806073097
49,1.076351962816002
50,3.0332093303483254
51,3.384059277004529
52,2.387999292695459
53,1.958261906072129
54,5.549309463941568
55,19.60224015317781
56,2.0523173067257794
57,20.06067280640729
58,7.402994983791224
59,1.8334609185466588
60,13.55085421120754
61,2.143739002583444
62,3.71907925973205
63,10.849323159162127
64,1.9418004651152487
65,2.9718732555425964
66,1.3910593441353898
67,2.6525762191887234
68,19.274044017001227
69,1.2538349433900466
70,1.136617339967671
71,20.242763205962287
72,6.41017632032292
73,3.9204414084496846
74,10.998596988451451
75,4.249594465759161
76,8.702569184188171
77,1.7001387149579046
78,14.291544781844467
79,1.943644252096172
80,2.4301974944294944
81,1.9093909746353568
82,32.68607433393863
83,3.579913969777622
84,1.243526276710669
85,10.200395437341985
86,4.1958555911852855
87,3.3757227959953533
88,2.2980428711658694
89,3.5794712255939207
90,7.5917696264021215
91,1.719252483195272
92,27.59411651927279
93,6.2742694069678375
94,1.157674518337315
95,2.7195376073787894
96,4.149225591994433
97,1.7748820302347534
98,11.777910189255413
99,3.7154134007825537
100,2.091043291142561
101,3.984054253461542
102,1.6481468108810182
103,2.408774753691089
104,6.276467676105762
105,1.99464640897592
106,1.7705450196257262
107,2.209600396316922
108,9.752270903749077
109,6.722746017426852
110,1.2158771213966733
111,7.2163845354986575
112,1.9380018762089917
113,28.4253673412237
114,2.5387807018391446
115,11.569663319313113
116,1.5436195378302555
117,2.424159128337125
118,6.316131013923175
119,4.402817253562085
120,1.1288166562332629
121,1.24288759457261
122,2.57820190099047
123,19.886801061686725
124,8.26510149269275
125,3.3985305231425635
126,2.8930921159408522
127,3.6928466749635986
128,18.15797445112733
129,5.296895144670638
130,1.272876855346664
131,8.796195898009547
132,1.7373071437737708
133,6.978057137574036
134,3.1812361400607294
