,0
0,0.509745822539834
1,0.3237971586733492
2,0.6793303023245499
3,0.33580077757808074
4,0.42268382327745296
5,0.6107324213216185
6,0.354176537942914
7,0.4891662192326954
8,0.29545380822272915
9,0.5816551736563579
10,0.5359022290453714
11,0.9592291735816388
12,0.5246218909261849
13,0.4596322425584219
14,0.39009374402284624
15,0.5373595315308652
16,0.35012014363718824
17,0.7229060634542589
18,0.5679957936032449
19,0.36454567079781663
20,0.4787641472654029
21,0.3050333675746257
22,0.4922452458511876
23,0.5939693109468857
24,0.4482240893369157
25,0.9405694399887284
26,0.5678097337464743
27,0.4046914837338737
28,0.4602692425879389
29,0.5393330228803593
30,0.3710952868324535
31,1.0609183495779893
32,0.31629271813740073
33,0.4543320829249203
34,0.326755192685729
35,0.4824551792344811
36,0.4832130863547859
37,0.4945773771827856
38,0.3570280715129306
39,1.0210155071854317
40,0.4523074183854459
41,0.46746190144202204
42,0.9864867829343992
43,0.6151827735619504
44,0.3943502788912686
45,0.4577678080010629
46,0.5205128173558837
47,0.3565450051519972
48,1.2135875343745728
49,0.3184689956886201
50,0.4750125567496983
51,1.116519179307588
52,0.3367286147423517
53,0.7131458652494836
54,0.5078536745316247
55,0.3899153795808812
56,1.0454193115199992
57,0.4881906708541857
58,0.8962613010838376
59,0.5258242984918643
60,0.4628469991964699
61,0.567335759622057
62,0.4319295287414172
63,1.1268636727000259
64,0.5801445816257372
65,0.3827716826185266
66,0.6367982049717714
67,0.5298287670821146
68,0.3840257358368205
69,0.6198413138308175
70,1.0594612988922203
71,0.3855328417467955
72,0.8956209056085003
73,0.5353649546693923
74,0.4617994601829961
75,0.4325693032379728
76,0.9015313667574026
77,0.3880669947778769
78,0.5021410756572208
79,0.5019427128831714
80,0.343475597454502
81,
82,0.32493603929508297
83,0.5935546206062026
84,0.7707652647911059
85,0.4095836807601422
86,0.4119765654926399
87,0.4871713379149902
88,0.5176118122688393
89,0.3790116603540629
90,1.0103584626828321
91,0.37238845455549385
92,0.4477286547940481
93,0.292779782281652
94,0.480417019115584
95,
96,0.6955655185862866
97,
98,0.3942954653413758
99,0.5558802212813289
100,
101,0.4174101199448651
102,0.6382172854982832
103,0.7896636946903148
104,0.4819892462007808
105,0.5115963413193538
106,0.385340976790364
107,0.9325078277738502
108,0.5719945871064588
109,0.2140633287695999
110,0.4724014089144887
111,0.6093991739929935
112,0.3420646824281619
113,0.35958453412427266
114,0.5027739053657023
115,0.3615058491930205
116,0.6758216347627529
117,0.9107974284418532
118,0.4447969886407839
119,0.4678776180265215
120,0.5203162467273932
121,0.4077216409262821
122,1.104264335468426
123,0.5139428589377221
124,0.2208224312978685
125,0.6118815985539414
126,0.3526448822980262
127,
128,0.3695600343092717
129,0.5096547245963446
130,
131,0.3850044791276226
132,0.7216980168081026
133,0.4283062768119197
134,0.4634609136823062
